gene,raw_score,z_score,rank,p_empirical
SERPINC1,65.46587133226299,120.69657329117827,1,2.0868984515213488e-05
H2AC20,61.455303162168775,113.30108329255482,2,4.1737969030426976e-05
RPS27,58.837639036352705,108.47410914794793,3,6.260695354564047e-05
ILF2,22.439741423234807,41.35636513951976,4,8.347593806085395e-05
H2AC21,18.61030474376767,34.29488171317129,5,0.00010434492257606745
JTB,12.490125233957665,23.009267197979845,6,0.00012521390709128094
GAS5,12.121414324645553,22.329364070404527,7,0.00014608289160649443
H3C13,10.284292168052078,18.941709763304836,8,0.0001669518761217079
ENSG00000285779,9.656702664731148,17.78443436036811,9,0.0001878208606369214
ENSG00000285641,9.161397422693357,16.87109121086862,10,0.0002086898451521349
ATP6V0B,8.937935623279541,16.459027524989306,11,0.0002295588296673484
H2BC21,8.85921655857569,16.313869524669208,12,0.00025042781418256187
MRPS21,8.611674977137803,15.857402706970325,13,0.00027129679869777537
SF3B4,7.681533544143781,14.142221372737831,14,0.00029216578321298887
ANP32E,7.35966919778286,13.548703334028183,15,0.00031303476772820237
SV2A,7.07069908566374,13.015842282067098,16,0.0003339037522434158
EVA1B,6.337982694452548,11.664712837756333,17,0.0003547727367586293
CSF3R,6.30729186327753,11.608118927522673,18,0.0003756417212738428
PRDX6,5.8295932111353,10.727242339856849,19,0.0003965107057890563
SLC39A1,5.825254754166028,10.719242222725075,20,0.0004173796903042698
RAB13,5.477251205654367,10.077523480304848,21,0.0004382486748194833
THRAP3,5.208425530741271,9.581808782068887,22,0.0004591176593346968
TNFRSF14,5.11651396394016,9.412323800338864,23,0.00047998664384991024
APH1A,5.115284882322137,9.410057373132524,24,0.0005008556283651237
S100A14,4.93116289993568,9.07053633234349,25,0.0005217246128803373
MRPS15,4.831831065877005,8.887368373548115,26,0.0005425935973955507
KLHL21,4.817,8.860019879591524,27,0.0005634625819107642
SNAPIN,4.495719963975111,8.267579309475586,28,0.0005843315664259777
H2BC18,4.405007968585204,8.10030633811366,29,0.0006052005509411912
NPR1,3.994486041107194,7.3433036691357305,30,0.0006260695354564047
RER1,3.7922833486724503,6.970441788680336,31,0.0006469385199716182
DPH2,3.7231199148316985,6.842904377135049,32,0.0006678075044868316
LSM10,3.6897804524541886,6.781426389449687,33,0.0006886764890020452
PEX10,3.60753699363136,6.629769404359183,34,0.0007095454735172586
B4GALT2,3.5708668586218364,6.562149654436136,35,0.0007304144580324722
SKI,3.5551837961347914,6.533230078243518,36,0.0007512834425476856
MAP7D1,3.3991094191465443,6.245428837844492,37,0.0007721524270628992
TPM3,3.2788847670552306,6.023734510651842,38,0.0007930214115781126
H2AC19,3.123120572455704,5.736505246754957,39,0.0008138903960933261
THAP3,3.072,5.642238881919378,40,0.0008347593806085396
CRTC2,3.04293977314277,5.588651806979987,41,0.000855628365123753
FCGR1A,2.913128882961769,5.349280451269196,42,0.0008764973496389666
DENND4B,2.8934562499312846,5.313004104713511,43,0.00089736633415418
PRXL2B,2.8177633576323067,5.173426368038156,44,0.0009182353186693936
ERI3,2.741830451473815,5.033406045668633,45,0.000939104303184607
RERE,2.7238898181274034,5.000323507520617,46,0.0009599732876998205
HES5,2.7232915618046825,4.999220322519478,47,0.000980842272215034
STK40,2.5423576965356696,4.665578171517757,48,0.0010017112567302475
IPO13,2.5290525822193572,4.64104353311152,49,0.001022580241245461
H2AC18,2.484019759035051,4.558002981412957,50,0.0010434492257606746
S100A16,2.435207261547661,4.467992708138549,51,0.001064318210275888
ENSG00000243613,2.300332917340634,4.219284340308828,52,0.0010851871947911015
TSPAN2,2.289,4.198386434253309,53,0.001106056179306315
PHF13,2.261,4.146754418244816,54,0.0011269251638215284
SRSF4,2.2363015328104816,4.101210430626442,55,0.001147794148336742
CAMTA1,2.201,4.036114383940903,56,0.0011686631328519555
MTMR11,2.184864476963767,4.006360470236896,57,0.0011895321173671688
PLCH2,2.1517805753176056,3.9453537366862523,58,0.0012104011018823824
PANK4,2.1310291168511526,3.9070880354098425,59,0.001231270086397596
PRKCZ,2.113113347172641,3.8740513458796504,60,0.0012521390709128095
TMEM200B,2.0580379901179544,3.7724923559824703,61,0.0012730080554280228
PDE4B,2.052287432564719,3.761888324566527,62,0.0012938770399432364
INTS3,2.0140093222583766,3.691303467276815,63,0.00131474602445845
CA14,1.9893167743350413,3.6457703947886673,64,0.0013356150089736632
SNX7,1.837074503621576,3.3650355605512767,65,0.0013564839934888768
OSCP1,1.763189438639147,3.228791458481229,66,0.0013773529780040903
ENSG00000272030,1.7580287510999622,3.219275147708443,67,0.001398221962519304
ENSG00000233222,1.7514429100527549,3.2071308530520573,68,0.0014190909470345172
C1orf54,1.7373059318940418,3.1810622572448293,69,0.0014399599315497308
