pathway,n_genes_pathway,n_genes_found,mean_rank,median_rank,pvalue,u_statistic,fdr_q
Positive Regulation Of Defense Response To Bacterium (GO:1900426),10,5,283.0,149.0,4.844387164435543e-05,1400.0,0.1471724820555518
Amino Acid Catabolic Process (GO:0009063),38,4,272.75,262.5,0.00024033401251745577,1081.0,0.33220360781108554
Proteolysis (GO:0006508),330,27,1228.3703703703704,668.0,0.0003280483289773722,32788.0,0.33220360781108554
Regulation Of Calcium Ion-Dependent Exocytosis (GO:0017158),28,2,74.0,74.0,0.0006947377410040336,145.0,0.4688685069230091
Sulfation (GO:0051923),16,2,83.5,83.5,0.0008859771006621231,164.0,0.4688685069230091
Defense Response To Fungus (GO:0050832),29,1,4.0,4.0,0.0010141987829614604,3.0,0.4688685069230091
Alpha-Amino Acid Catabolic Process (GO:1901606),29,6,661.5,526.0,0.001426291804698486,3948.0,0.4688685069230091
Stress-Activated MAPK Cascade (GO:0051403),42,5,602.0,127.0,0.002138012340301122,2995.0,0.4688685069230091
Response To Reactive Oxygen Species (GO:0000302),66,8,878.75,716.0,0.002467799887717239,6994.0,0.4688685069230091
Regulation Of Stress-Activated MAPK Cascade (GO:0032872),51,5,625.8,122.0,0.002596559077833278,3114.0,0.4688685069230091
Negative Regulation Of Nitrogen Compound Metabolic Process (GO:0051172),11,1,12.0,12.0,0.0030425963488843813,11.0,0.4688685069230091
Positive Chemotaxis (GO:0050918),17,2,164.5,164.5,0.003459027449471397,326.0,0.4688685069230091
DNA-templated DNA Replication (GO:0006261),69,6,773.6666666666666,552.5,0.0036582968778591054,4621.0,0.4688685069230091
Establishment Of Protein Localization To Endoplasmic Reticulum (GO:0072599),16,1,17.0,17.0,0.004310344827586207,16.0,0.4688685069230091
Regulation Of Short-Term Neuronal Synaptic Plasticity (GO:0048172),13,1,17.0,17.0,0.004310344827586207,16.0,0.4688685069230091
Negative Regulation Of Cell Differentiation (GO:0045596),207,17,1248.9411764705883,1156.0,0.004325683552226905,21079.0,0.4688685069230091
DNA-templated Transcription Termination (GO:0006353),16,3,393.3333333333333,94.0,0.004438640992618549,1174.0,0.4688685069230091
MAPK Cascade (GO:0000165),98,13,1155.0,902.0,0.004761096887492975,14924.0,0.4688685069230091
mRNA Metabolic Process (GO:0016071),85,12,1124.0833333333333,1104.0,0.004870773898894931,13411.0,0.4688685069230091
Regulation Of Lipoprotein Lipase Activity (GO:0051004),15,2,202.0,202.0,0.005221721910449051,401.0,0.4688685069230091
Regulation Of Osteoblast Differentiation (GO:0045667),85,8,973.125,758.0,0.005496440096195495,7749.0,0.4688685069230091
Negative Regulation Of Innate Immune Response (GO:0045824),52,6,832.0,771.5,0.005661123044228543,4971.0,0.4688685069230091
DNA Repair (GO:0006281),291,34,1482.1176470588234,1163.0,0.005834974158045475,49797.0,0.4688685069230091
Vacuolar Transport (GO:0007034),46,7,919.0,914.0,0.005983089163471404,6405.0,0.4688685069230091
Positive Regulation Of Defense Response (GO:0031349),124,10,1076.1,835.5,0.006343145835886394,10706.0,0.4688685069230091
Negative Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001960),59,2,225.0,225.0,0.006481818242614456,447.0,0.4688685069230091
Oxoacid Metabolic Process (GO:0043436),22,2,228.0,228.0,0.00665621001914194,453.0,0.4688685069230091
Regulation Of Cytoskeleton Organization (GO:0051493),114,12,1160.4166666666667,1056.5,0.0066773316810220164,13847.0,0.4688685069230091
Regulation Of B Cell Differentiation (GO:0045577),19,1,27.0,27.0,0.006845841784989858,26.0,0.4688685069230091
Negative Regulation Of T Cell Mediated Immunity (GO:0002710),14,1,27.0,27.0,0.006845841784989858,26.0,0.4688685069230091
Carboxylic Acid Catabolic Process (GO:0046395),17,1,27.0,27.0,0.006845841784989858,26.0,0.4688685069230091
Regulation Of Hematopoietic Stem Cell Differentiation (GO:1902036),12,3,461.6666666666667,415.0,0.007183945238406104,1379.0,0.4688685069230091
Phosphatidylcholine Metabolic Process (GO:0046470),55,2,242.5,242.5,0.007531769911914147,482.0,0.4688685069230091
Phosphatidylcholine Acyl-Chain Remodeling (GO:0036151),12,2,242.5,242.5,0.007531769911914147,482.0,0.4688685069230091
U2-type Prespliceosome Assembly (GO:1903241),23,3,470.0,326.0,0.007580761541263123,1404.0,0.4688685069230091
Regulation Of JUN Kinase Activity (GO:0043506),43,2,244.0,244.0,0.0076253961754185785,485.0,0.4688685069230091
