Pathway,n_genes,p_val,mean_score,median_score,stat,FDR,Modality
Regulation Of Smooth Muscle Contraction (GO:0006940),20,2.4840716136295187e-21,0.880377780634276,-0.050796008001705,257985.0,6.749222574231402e-18,score
Regulation Of Muscle Contraction (GO:0006937),29,9.090937337142107e-11,1.4671327342451594,-0.050796008001705,333567.0,1.2350038372507553e-07,score
Heart Process (GO:0003015),16,1.0345393186281012e-05,3.674605217937809,-0.050796008001705,181254.0,0.0067122301134857,score
Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881),16,1.1385818997713493e-05,0.2400742844887195,-0.050796008001705,181124.0,0.0067122301134857,score
Reticulophagy (GO:0061709),16,1.235228213744158e-05,0.0767341532012919,-0.050796008001705,181013.0,0.0067122301134857,score
Regulation Of Adenylate Cyclase Activity (GO:0045761),17,2.4909221840519416e-05,0.1649827015944538,-0.050796008001705,190503.0,0.011076350331935,score
"Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)",55,2.853678775250092e-05,-0.0021045582983934,-0.050796008001705,578532.0,0.011076350331935,score
Response To Ethanol (GO:0045471),18,5.5985705551189176e-05,0.1026448944665493,-0.050796008001705,199703.0,0.0170344588773343,score
3'-UTR-mediated mRNA Stabilization (GO:0070935),18,5.928895476213162e-05,-0.0250535807075445,-0.050796008001705,199613.0,0.0170344588773343,score
Positive Regulation Of DNA Replication (GO:0045740),18,6.26958368690997e-05,-0.0269541384488281,-0.050796008001705,199525.0,0.0170344588773343,score
Gastrulation (GO:0007369),19,9.56703439784202e-05,0.0559210013066114,-0.050796008001705,209213.0,0.0236305749626697,score
Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882),20,0.000133049392013,0.1819002259906345,-0.050796008001705,218990.0,0.0301245998416147,score
Skeletal Muscle Organ Development (GO:0060538),34,0.0001998999277779,0.1689976224485436,-0.050796008001705,361325.0,0.0417790849055918,score
Acetylcholine Receptor Signaling Pathway (GO:0095500),21,0.0002203769917916,0.1228066386613592,-0.050796008001705,228390.0,0.042768877621286,score
Positive Regulation Of Translational Initiation (GO:0045948),21,0.0002595611128849,-0.0160622047578833,-0.050796008001705,228087.0,0.0470151695805556,score
Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880),22,0.0003264043474899,0.1607460229004218,-0.050796008001705,237917.0,0.0554275382581292,score
Positive Regulation Of Bone Mineralization (GO:0030501),38,0.0006695933054052,0.0109999978437477,-0.050796008001705,398765.0,0.1023103871829393,score
ATP Biosynthetic Process (GO:0006754),24,0.0006778016081313,0.397073511408184,-0.050796008001705,256880.0,0.1023103871829393,score
Neuron Migration (GO:0001764),55,0.0007196535207653,0.0164183161746782,-0.050796008001705,569139.0,0.1029104534694499,score
Negative Regulation Of Neuron Apoptotic Process (GO:0043524),74,0.0009061782317508,0.124005766625804,-0.050796008001705,757526.0,0.1230727764765294,score
Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120032),75,0.0009512433956595,0.1798810270432745,-0.050796008001705,767262.0,0.1230727764765294,score
Regulation Of Heart Rate By Cardiac Conduction (GO:0086091),40,0.001064944396921,0.3099522350966044,-0.050796008001705,417614.0,0.1313500999766871,score
"Chemical Synaptic Transmission, Postsynaptic (GO:0099565)",25,0.0011453043858794,0.0076423722509444,-0.050796008001705,265904.0,0.1313500999766871,score
Heart Contraction (GO:0060047),41,0.001160251159161,1.411982587831393,-0.050796008001705,427415.0,0.1313500999766871,score
Positive Regulation Of Ossification (GO:0045778),41,0.0012922009429975,0.0064783388794463,-0.050796008001705,427100.0,0.1404363984849748,score
Calcium Ion Transmembrane Transport (GO:0070588),80,0.0016132477594805,0.2090920163713381,-0.050796008001705,814673.0,0.1685843908657226,score
Positive Regulation Of Biomineral Tissue Development (GO:0070169),43,0.0019030208060705,0.0038144157686951,-0.050796008001705,445985.0,0.1859333869141481,score
Clathrin-Dependent Endocytosis (GO:0072583),27,0.001974601666156,0.058946211241729,-0.050796008001705,284891.0,0.1859333869141481,score
Membrane Repolarization During Action Potential (GO:0086011),14,0.0019845668827789,0.9197234655996358,-0.050796008001705,152375.0,0.1859333869141481,score
Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901),28,0.0024586740043039,-0.0026009578041886,-0.050796008001705,294446.0,0.21835425623326,score
Positive Regulation Of Calcium Ion Transport (GO:0051928),28,0.0024913441086606,0.0676384173397376,-0.050796008001705,294412.0,0.21835425623326,score
Alpha-Amino Acid Catabolic Process (GO:1901606),29,0.0026543486807635,0.4301248009417115,-0.050796008001705,304340.0,0.2210596620154934,score
Cardiac Conduction (GO:0061337),45,0.0027419041436778,0.2698690969745702,-0.050796008001705,464824.0,0.2210596620154934,score
Regulation Of Neuron Apoptotic Process (GO:0043523),105,0.0027879066148422,0.0798543946078913,-0.050796008001705,1058592.0,0.2210596620154934,score
Regulation Of Amyloid Fibril Formation (GO:1905906),15,0.0028476585095849,0.7565818727351468,-0.050796008001705,161980.0,0.2210596620154934,score
Calcium-Mediated Signaling (GO:0019722),85,0.003030775593877,0.1008031593839076,-0.050796008001705,861313.0,0.228739369126779,score
Regulation Of Voltage-Gated Calcium Channel Activity (GO:1901385),29,0.0031235722070213,0.216456468733352,-0.050796008001705,303907.0,0.2293715050399154,score
Response To Alcohol (GO:0097305),29,0.0032820021379401,0.0444431728406597,-0.050796008001705,303774.0,0.2320550424857177,score
Negative Regulation Of Immune Effector Process (GO:0002698),15,0.0033309336241969,0.0558332639367246,-0.050796008001705,161678.0,0.2320550424857177,score
Negative Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901020),30,0.0034653598667559,0.5162339087486146,-0.050796008001705,313699.0,0.2353845689493996,score
Lysosomal Lumen Acidification (GO:0007042),16,0.0042680956335754,0.3582109597924519,-0.050796008001705,171406.0,0.273126452280473,score
Negative Regulation Of Neuron Death (GO:1901215),88,0.0043594756095712,0.0961963933896093,-0.050796008001705,889175.0,0.273126452280473,score
Response To UV-B (GO:0010224),16,0.0043687169632238,0.2020818090117514,-0.050796008001705,171358.0,0.273126452280473,score
Cellular Response To Alkaloid (GO:0071312),16,0.0044584938903805,0.3679382068887618,-0.050796008001705,171316.0,0.273126452280473,score
Cell Surface Toll-Like Receptor Signaling Pathway (GO:0140895),16,0.0045236254518296,0.1449730078353624,-0.050796008001705,171286.0,0.273126452280473,score
Positive Regulation Of Positive Chemotaxis (GO:0050927),16,0.0046699138429753,0.0921058076368662,-0.050796008001705,171220.0,0.2758294763340031,score
Activation Of Cysteine-Type Endopeptidase Activity (GO:0097202),16,0.004972833343786,-0.0177932908072744,-0.050796008001705,171089.0,0.2874720892567366,score
Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012),16,0.0051983841619119,0.0083033767282574,-0.050796008001705,170996.0,0.2942502034982241,score
Proteoglycan Biosynthetic Process (GO:0030166),32,0.0056513832161365,0.0086276933144123,-0.050796008001705,332393.0,0.3133634326172025,score
Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:0035924),32,0.0059129074968009,0.029167161879081,-0.050796008001705,332257.0,0.3160620486599008,score
Reticulophagy (GO:0061709),16,6.856532686404697e-11,0.2124260633531187,-0.0162557086065389,182989.0,1.8629199308961565e-07,CAGE
Regulation Of Adenylate Cyclase Activity (GO:0045761),17,3.3340794043674957e-10,0.1189233445291692,-0.0162557086065389,192461.0,4.529346870833243e-07,CAGE
Regulation Of Smooth Muscle Contraction (GO:0006940),20,1.0693033345437346e-08,-0.0071745419069411,-0.0162557086065389,221143.0,9.684323866517755e-06,CAGE
Negative Regulation Of Immune Effector Process (GO:0002698),15,9.110560696971716e-06,0.0563973493450207,-0.0162557086065389,163556.0,0.006188348353418,CAGE
Organelle Disassembly (GO:1903008),54,1.5975473147349478e-05,0.0526167020933574,-0.0162557086065389,556449.0,0.0070994737779291,CAGE
Lysosomal Lumen Acidification (GO:0007042),16,1.7723952362586135e-05,0.2617690939416657,-0.0162557086065389,173205.0,0.0070994737779291,CAGE
Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881),16,1.8290878338426103e-05,0.1796011083129231,-0.0162557086065389,173174.0,0.0070994737779291,CAGE
