Pathway,N_Overlap,P_Value,Effect_Size,Median_Rank,FDR
Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),436,5.073065192440973e-37,0.35074938241443276,29904.5,1.3798737323439447e-33
Protein Phosphorylation (GO:0006468),484,4.035734298557328e-33,0.31388984227545624,31572.5,4.291983102384026e-30
Negative Regulation Of Apoptotic Process (GO:0043066),455,4.733804892335323e-33,0.3233310347510904,30637.0,4.291983102384026e-30
Protein Ubiquitination (GO:0016567),393,1.1704842192837363e-31,0.33990611560938633,29641.0,7.959292691129407e-29
Cellular Response To Oxygen-Containing Compound (GO:1901701),382,5.382467602597641e-30,0.3349523207262184,30237.0,2.928062375813117e-27
Positive Regulation Of Cell Population Proliferation (GO:0008284),456,9.462929015817421e-30,0.3053416552653776,32149.5,4.289861153837231e-27
Positive Regulation Of Gene Expression (GO:0010628),452,3.8564591124318577e-28,0.29766633136563403,31739.0,1.4165011887631753e-25
Phosphorylation (GO:0016310),410,4.166179966950516e-28,0.3122751491243706,31734.5,1.4165011887631753e-25
Protein Modification By Small Protein Conjugation (GO:0032446),331,1.4325974246853274e-27,0.3438304641792691,29571.0,4.329627772382323e-25
Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),425,2.3366496004480275e-27,0.302314969262512,31071.0,6.355686913218635e-25
Negative Regulation Of Programmed Cell Death (GO:0043069),363,4.2930975145721334e-27,0.3253096290012608,30014.0,1.0615659308760184e-24
Negative Regulation Of Gene Expression (GO:0010629),317,6.460769689186974e-27,0.34680282714370514,31333.0,1.4644411295490473e-24
Nervous System Development (GO:0007399),411,1.833099856851027e-26,0.30194037628075576,32483.0,3.797433983287083e-24
Negative Regulation Of Cell Population Proliferation (GO:0008285),345,1.954561609044822e-26,0.3292626435852928,30548.0,3.797433983287083e-24
Gene Expression (GO:0010467),285,1.9388569105762705e-25,0.35471746103816937,30149.0,3.515793864511637e-23
Regulation Of Cell Migration (GO:0030334),405,3.379965502892074e-24,0.28977433394153373,33080.0,5.745941354916526e-22
Vesicle-Mediated Transport (GO:0016192),375,8.386840001256897e-24,0.29841823402823586,34132.0,1.3418944002011034e-21
Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),348,1.7937953853884722e-23,0.3073917661557076,30615.0,2.710624137920358e-21
DNA Metabolic Process (GO:0006259),271,2.0589579991294964e-23,0.34771732798093913,30171.0,2.9475609250695947e-21
Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),301,3.0133526082128695e-23,0.328712220483133,30599.0,4.098159547169502e-21
Positive Regulation Of Protein Phosphorylation (GO:0001934),362,3.9763949069569464e-23,0.2989839940486624,32137.0,5.150378165201378e-21
Regulation Of Cell Cycle (GO:0051726),272,3.4628231098129427e-22,0.3370430701107878,30104.0,4.2813085721323654e-20
Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),346,3.6801377393357363e-22,0.29875085348633323,30621.0,4.352162891736175e-20
DNA Repair (GO:0006281),260,7.197136455819565e-22,0.3420027320872824,29533.5,8.041779322012414e-20
Intracellular Protein Transport (GO:0006886),306,7.391341288614352e-22,0.31523142591701603,30520.0,8.041779322012414e-20
Positive Regulation Of Multicellular Organismal Process (GO:0051240),370,1.7139346139889546e-21,0.2841306594851719,32982.0,1.7930392884807523e-19
Organelle Assembly (GO:0070925),280,1.795379409273032e-21,0.32630313265316313,33629.5,1.8086785160083879e-19
Proteolysis (GO:0006508),311,2.131283792019623e-21,0.3090719840910421,30719.0,2.070389969390491e-19
Protein Localization (GO:0008104),329,4.4996738400789825e-21,0.29801486127505095,31744.0,4.220383739660287e-19
Protein Transport (GO:0015031),289,2.950508647727157e-20,0.3110682694802005,32036.0,2.6751278406059555e-18
Translation (GO:0006412),215,3.6884803350155607e-20,0.35956418611148366,28755.0,3.236344035884621e-18
DNA Damage Response (GO:0006974),341,7.494956483961975e-20,0.2832717541306973,31354.0,6.370713011367679e-18
Chromatin Organization (GO:0006325),236,8.530289755458784e-20,0.33979497819552196,29948.0,7.031026707529665e-18
Regulation Of Intracellular Signal Transduction (GO:1902531),285,1.1618811015861384e-19,0.3081233717731504,30016.0,9.295048812689107e-18
