Pathway,n_genes,p_val,mean_score,median_score,stat,FDR
Reticulophagy (GO:0061709),16,6.856532686404698e-11,0.21242606335311873,-0.0162557086065389,182989.0,1.8629199308961565e-07
Regulation Of Adenylate Cyclase Activity (GO:0045761),17,3.3340794043674957e-10,0.11892334452916925,-0.0162557086065389,192461.0,4.529346870833243e-07
Regulation Of Smooth Muscle Contraction (GO:0006940),20,1.0693033345437346e-08,-0.00717454190694117,-0.0162557086065389,221143.0,9.684323866517755e-06
Negative Regulation Of Immune Effector Process (GO:0002698),15,9.110560696971716e-06,0.05639734934502077,-0.0162557086065389,163556.0,0.006188348353418038
Organelle Disassembly (GO:1903008),54,1.5975473147349478e-05,0.0526167020933574,-0.0162557086065389,556449.0,0.007099473777929103
Lysosomal Lumen Acidification (GO:0007042),16,1.7723952362586135e-05,0.26176909394166575,-0.0162557086065389,173205.0,0.007099473777929103
Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881),16,1.8290878338426103e-05,0.17960110831292317,-0.0162557086065389,173174.0,0.007099473777929103
Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012),16,2.1696906385185958e-05,-0.002629430269225955,-0.0162557086065389,173005.0,0.007107218232669762
DNA Damage Checkpoint Signaling (GO:0000077),34,2.5855916670054325e-05,0.006948719980592042,-0.0162557086065389,355374.0,0.007107218232669762
Skeletal Muscle Organ Development (GO:0060538),34,2.615832989572971e-05,0.07008099341862034,-0.0162557086065389,355357.0,0.007107218232669762
G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007213),17,3.874315830225015e-05,-0.00779818893656933,-0.0162557086065389,182650.0,0.009569560100655787
Positive Regulation Of DNA Replication (GO:0045740),18,7.039003217091937e-05,-0.0024969781285019326,-0.0162557086065389,192204.0,0.015558046837609838
Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745),18,7.444041549095616e-05,-0.01478070046419742,-0.0162557086065389,192141.0,0.015558046837609838
RNA Destabilization (GO:0050779),19,0.000102164427245897,0.10922500655694102,-0.0162557086065389,201950.0,0.019827196344793012
Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882),20,0.00016354926526290938,0.14042974492903076,-0.0162557086065389,211528.0,0.02962422358128832
DNA Integrity Checkpoint Signaling (GO:0031570),42,0.00022844431992342302,0.002528828821138528,-0.0162557086065389,431922.0,0.03845876657725969
Positive Regulation Of Vacuole Organization (GO:0044090),21,0.0002454653620274576,0.1090123462486858,-0.0162557086065389,221132.0,0.03845876657725969
Positive Regulation Of Translational Initiation (GO:0045948),21,0.0002547875592162953,0.025524763954360805,-0.0162557086065389,221083.0,0.03845876657725969
Acetylcholine Receptor Signaling Pathway (GO:0095500),21,0.00027133487327052255,-0.009409145064182584,-0.0162557086065389,221000.0,0.03880088687768472
Cell-Cell Junction Assembly (GO:0007043),70,0.00030032583747939545,0.16010827214203927,-0.0162557086065389,709076.0,0.04079926502157587
Negative Regulation Of Protein Localization To Nucleus (GO:1900181),22,0.00035127577504838405,0.317357557267157,-0.0162557086065389,230751.0,0.043090634629485675
Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880),22,0.0003647716586228084,0.12618561278943352,-0.0162557086065389,230699.0,0.043090634629485675
Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033143),22,0.0003647716586228084,0.07200575393243593,-0.0162557086065389,230699.0,0.043090634629485675
Regulation Of Lysosomal Lumen pH (GO:0035751),23,0.0005066178496923636,0.17715284968786432,-0.0162557086065389,240314.0,0.056255080053195974
Regulation Of mRNA Catabolic Process (GO:0061013),46,0.0005328244172425645,0.03557618764142992,-0.0162557086065389,470093.0,0.056255080053195974
Stress Granule Assembly (GO:0034063),23,0.0005383261249109662,0.015684429410033212,-0.0162557086065389,240226.0,0.056255080053195974
Regulation Of Intracellular Estrogen Receptor Signaling Pathway (GO:0033146),25,0.0009599697525025752,0.06141437842775895,-0.0162557086065389,259448.0,0.09660140064998136
Cell-Cell Adhesion Mediated By Cadherin (GO:0044331),25,0.001007666319883252,-0.005806116027505921,-0.0162557086065389,259371.0,0.09777962111152841
Negative Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904357),25,0.0010615076836365134,-0.009464291157347425,-0.0162557086065389,259288.0,0.09945228884277266
Regulation Of Cell Development (GO:0060284),51,0.0011416797357118368,0.04840324363990741,-0.0162557086065389,518039.0,0.10339812806430203
Positive Regulation Of Adenylate Cyclase Activity (GO:0045762),26,0.0012664821947914215,0.07179763747953728,-0.0162557086065389,269024.0,0.10798824130614718
Regulation Of Cardiac Muscle Cell Contraction (GO:0086004),26,0.0012718526764065917,0.04448802453175075,-0.0162557086065389,269017.0,0.10798824130614718
Cellular Response To Ionizing Radiation (GO:0071479),52,0.001377961842867929,-0.005004021461806448,-0.0162557086065389,527501.0,0.11345219172945947
Vacuolar Acidification (GO:0007035),27,0.0015991751101586214,0.14849972994054533,-0.0162557086065389,278640.0,0.12779290512649924
Clathrin-Dependent Endocytosis (GO:0072583),27,0.001721308849446932,0.1266117535061436,-0.0162557086065389,278513.0,0.13362274696992327
