Pathway,n_genes,p_val,mean_score,median_score,stat,FDR
Reticulophagy (GO:0061709),16,6.741852227588766e-11,0.8304786779510046,-0.0370925028034754,183000.0,1.8317612502358677e-07
Regulation Of Adenylate Cyclase Activity (GO:0045761),17,3.4113861044898757e-10,0.2261455267219472,-0.0370925028034754,192445.0,4.6343680229494965e-07
Regulation Of Smooth Muscle Contraction (GO:0006940),20,9.062737622993722e-09,0.8108419875137762,-0.0370925028034754,221280.0,8.207819373891314e-06
Negative Regulation Of Immune Effector Process (GO:0002698),15,9.17997131036835e-06,0.23090285704546307,-0.0370925028034754,163549.0,0.006235495512567702
Organelle Disassembly (GO:1903008),54,1.575458695482263e-05,0.22357467223694522,-0.0370925028034754,556474.0,0.006921503557654942
Lysosomal Lumen Acidification (GO:0007042),16,1.7544660757526548e-05,1.0130005176445513,-0.0370925028034754,173215.0,0.006921503557654942
Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881),16,1.783236102450666e-05,0.88974615872536,-0.0370925028034754,173199.0,0.006921503557654942
Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012),16,2.105134562014428e-05,0.06745204901540032,-0.0370925028034754,173035.0,0.0071495632562415005
DNA Damage Checkpoint Signaling (GO:0000077),34,2.5556818749588585e-05,0.05300137925180002,-0.0370925028034754,355391.0,0.007249488895522546
Skeletal Muscle Organ Development (GO:0060538),34,2.6681961337955636e-05,0.0687724565617286,-0.0370925028034754,355328.0,0.007249488895522546
G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007213),17,3.747953340455047e-05,0.01796639207257319,-0.0370925028034754,182685.0,0.009257444750923965
Positive Regulation Of DNA Replication (GO:0045740),18,6.958049282927567e-05,-0.009985895354035006,-0.0370925028034754,192217.0,0.015176300499721533
Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745),18,7.261387798909824e-05,-0.03284491947227249,-0.0370925028034754,192169.0,0.015176300499721533
RNA Destabilization (GO:0050779),19,0.00010312031150280501,0.17570566661412393,-0.0370925028034754,201939.0,0.020012706168080086
Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882),20,0.00016030240951412465,0.704378426419593,-0.0370925028034754,211553.0,0.029036109776658447
DNA Integrity Checkpoint Signaling (GO:0031570),42,0.00022635049201826746,0.03584063981269995,-0.0370925028034754,431939.0,0.037786122177532314
Positive Regulation Of Vacuole Organization (GO:0044090),21,0.00024267584289979638,0.47179690287556786,-0.0370925028034754,221147.0,0.037786122177532314
Positive Regulation Of Translational Initiation (GO:0045948),21,0.00025285867571107874,0.06457940348490626,-0.0370925028034754,221093.0,0.037786122177532314
Acetylcholine Receptor Signaling Pathway (GO:0095500),21,0.0002642386166261001,0.007478983524754411,-0.0370925028034754,221035.0,0.037786122177532314
Cell-Cell Junction Assembly (GO:0007043),70,0.00028997853674718205,0.687617682175514,-0.0370925028034754,709161.0,0.039393584217104684
Negative Regulation Of Protein Localization To Nucleus (GO:1900181),22,0.00035102084595898674,1.0957656405354639,-0.0370925028034754,230752.0,0.04284171354746163
Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880),22,0.0003582242399743535,0.636971978308405,-0.0370925028034754,230724.0,0.04284171354746163
Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033143),22,0.0003626644871518651,0.2827998870872961,-0.0370925028034754,230707.0,0.04284171354746163
Regulation Of Lysosomal Lumen pH (GO:0035751),23,0.0005031261646240475,0.6934069896821086,-0.0370925028034754,240324.0,0.056255080053195974
Regulation Of mRNA Catabolic Process (GO:0061013),46,0.0005207480324863337,0.05094132199501692,-0.0370925028034754,470140.0,0.056255080053195974
Stress Granule Assembly (GO:0034063),23,0.0005383261249109662,0.022795291696975032,-0.0370925028034754,240226.0,0.056255080053195974
Regulation Of Intracellular Estrogen Receptor Signaling Pathway (GO:0033146),25,0.0009551350399847214,0.24441280030040358,-0.0370925028034754,259456.0,0.09611488531994401
Cell-Cell Adhesion Mediated By Cadherin (GO:0044331),25,0.0010007219229216993,-0.00010619818543797455,-0.0370925028034754,259382.0,0.0971057665920806
Negative Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904357),25,0.0010515861280461618,-0.024964603349401905,-0.0370925028034754,259303.0,0.09852274172073866
Regulation Of Cell Development (GO:0060284),51,0.00114118231053143,0.11754154472043805,-0.0370925028034754,518040.0,0.10335307792379651
Positive Regulation Of Adenylate Cyclase Activity (GO:0045762),26,0.0012611324624549228,0.13499729694922433,-0.0370925028034754,269031.0,0.10877405035971456
Regulation Of Cardiac Muscle Cell Contraction (GO:0086004),26,0.001281107696544301,0.051428278281895896,-0.0370925028034754,269005.0,0.10877405035971456
Cellular Response To Ionizing Radiation (GO:0071479),52,0.001363981099435648,0.01373563241782627,-0.0370925028034754,527525.0,0.1123011105202017
Vacuolar Acidification (GO:0007035),27,0.0015899019916609572,0.5851848426472073,-0.0370925028034754,278650.0,0.12705187386302413
Clathrin-Dependent Endocytosis (GO:0072583),27,0.0017034971310236474,0.572413975869418,-0.0370925028034754,278531.0,0.13224004871403572
Eye Development (GO:0001654),55,0.0020408446727045127,0.7828665307826217,-0.0370925028034754,556206.0,0.15402708265939338
Positive Regulation Of Calcium Ion Transport (GO:0051928),28,0.0022186882010093983,0.06297564470341974,-0.0370925028034754,288057.0,0.1629236714092577
Regulation Of Calcium Ion Transport (GO:0051924),56,0.0024393601787567752,0.018181874024381605,-0.0370925028034754,565627.0,0.17441425278110942
Regulation Of Muscle Contraction (GO:0006937),29,0.0025474488296827295,0.5451766834546548,-0.0370925028034754,297784.0,0.17747226846789682
Signal Transduction In Response To DNA Damage (GO:0042770),57,0.0026362561546255333,0.01664770754528538,-0.0370925028034754,575294.0,0.17906769930293934
Regulation Of Voltage-Gated Calcium Channel Activity (GO:1901385),29,0.002797478166951578,-0.01539892884338835,-0.0370925028034754,297609.0,0.1853841019416448
Selective Autophagy (GO:0061912),58,0.002885892535319978,0.2022374780943122,-0.0370925028034754,584919.0,0.18668976234439003
Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156),58,0.0031475639116570896,-0.0229054436464131,-0.0370925028034754,584687.0,0.19888211972028633
Negative Regulation Of DNA Biosynthetic Process (GO:2000279),31,0.004123174867508701,-0.027311938727609685,-0.0370925028034754,316774.0,0.25460604806866227
Regulation Of Translational Initiation (GO:0006446),64,0.005497164915547168,0.25821340112036295,-0.0370925028034754,642178.0,0.3302349418200661
Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281),33,0.005699345406821374,0.36161790927474247,-0.0370925028034754,335975.0,0.3302349418200661
Regulation Of Lamellipodium Assembly (GO:0010591),33,0.005712566163247371,-0.026993437060205405,-0.0370925028034754,335970.0,0.3302349418200661
Adherens Junction Organization (GO:0034332),34,0.006352575457412578,0.8964580723092427,-0.0370925028034754,345662.0,0.3532204190412243
Embryonic Limb Morphogenesis (GO:0030326),34,0.006436146002444242,0.061072550601101366,-0.0370925028034754,345633.0,0.3532204190412243
Regulation Of Metal Ion Transport (GO:0010959),34,0.006500191737968794,0.053943438946452545,-0.0370925028034754,345611.0,0.3532204190412243
Ras Protein Signal Transduction (GO:0007265),143,0.006720229888194605,-0.030431547498476538,-0.0370925028034754,1412150.0,0.3580169530632302
Anterograde Trans-Synaptic Signaling (GO:0098916),188,0.006960958495439149,-0.021634028216826258,-0.0370925028034754,1846772.0,0.3637100813866955
Regulation Of Cardiac Muscle Contraction (GO:0055117),35,0.007956645546263293,-0.019106972947824506,-0.0370925028034754,355067.0,0.4078906782867428
