Pathway,n_genes,p_val,mean_score,median_score,stat,FDR
Reticulophagy (GO:0061709),16,6.846028900462052e-11,0.5480554449294469,-0.0314474561084908,182990.0,1.8600660522555397e-07
Regulation Of Adenylate Cyclase Activity (GO:0045761),17,3.396759116989758e-10,0.25273586615474597,-0.0314474561084908,192448.0,4.6144972604305866e-07
Regulation Of Smooth Muscle Contraction (GO:0006940),20,1.0288483678781487e-08,0.08837014263854275,-0.0314474561084908,221175.0,9.317936718416432e-06
Negative Regulation Of Immune Effector Process (GO:0002698),15,9.544970467052475e-06,0.034868259198007005,-0.0314474561084908,163513.0,0.0064834211897453935
Organelle Disassembly (GO:1903008),54,1.5772150505664227e-05,0.14460801961694794,-0.0314474561084908,556472.0,0.00716576494656378
Lysosomal Lumen Acidification (GO:0007042),16,1.799615531681086e-05,0.5645081237988128,-0.0314474561084908,173190.0,0.00716576494656378
Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881),16,1.8798641217358224e-05,0.28651545267808737,-0.0314474561084908,173147.0,0.00716576494656378
Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012),16,2.1938283097792088e-05,-0.022238099129591078,-0.0314474561084908,172994.0,0.00716576494656378
DNA Damage Checkpoint Signaling (GO:0000077),34,2.5749975899462875e-05,0.021001265050322276,-0.0314474561084908,355380.0,0.00716576494656378
Skeletal Muscle Organ Development (GO:0060538),34,2.637381283240258e-05,0.20940401125152003,-0.0314474561084908,355345.0,0.00716576494656378
G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007213),17,4.038890462107385e-05,-0.02782111757123247,-0.0314474561084908,182606.0,0.009976059441405241
Positive Regulation Of DNA Replication (GO:0045740),18,6.914822757178135e-05,0.012001692906098788,-0.0314474561084908,192224.0,0.015270901452919256
Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745),18,7.306651412880026e-05,-0.021033300394626565,-0.0314474561084908,192162.0,0.015270901452919256
RNA Destabilization (GO:0050779),19,0.00010113114014881365,0.3142546799330024,-0.0314474561084908,201962.0,0.01962666484173762
