Pathway,n_genes,p_val,mean_score,median_score,stat,FDR
Reticulophagy (GO:0061709),16,6.598603605057474e-11,0.2818799344262884,-0.0149384794213524,183014.0,1.7928405994941155e-07
Regulation Of Adenylate Cyclase Activity (GO:0045761),17,3.4457551138466805e-10,0.07138041531432486,-0.0149384794213524,192438.0,4.6810583221607154e-07
Regulation Of Smooth Muscle Contraction (GO:0006940),20,1.0363187364568008e-08,0.0012623450988832787,-0.0149384794213524,221169.0,9.385593356510426e-06
Negative Regulation Of Immune Effector Process (GO:0002698),15,8.973236522243106e-06,0.06089232146653364,-0.0149384794213524,163570.0,0.00609507090773363
Organelle Disassembly (GO:1903008),54,1.575458695482263e-05,0.07388649326606998,-0.0149384794213524,556474.0,0.006865453557026116
Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881),16,1.76161697318112e-05,0.2009426556335434,-0.0149384794213524,173211.0,0.006865453557026116
Lysosomal Lumen Acidification (GO:0007042),16,1.7687955428480975e-05,0.17211648077006836,-0.0149384794213524,173207.0,0.006865453557026116
Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012),16,2.0882298814193215e-05,0.04428599075619641,-0.0149384794213524,173043.0,0.007092150734770371
DNA Damage Checkpoint Signaling (GO:0000077),34,2.5019827965289407e-05,0.029546891633159194,-0.0149384794213524,355422.0,0.007185381867360233
Skeletal Muscle Organ Development (GO:0060538),34,2.6446013497829347e-05,0.028548094354622897,-0.0149384794213524,355341.0,0.007185381867360233
G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007213),17,3.944588832246623e-05,-0.00880464619172143,-0.0149384794213524,182631.0,0.00974313441564916
Positive Regulation Of DNA Replication (GO:0045740),18,7.007762666706047e-05,-0.00590468180323553,-0.0149384794213524,192209.0,0.015448063855584612
Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745),18,7.391418112719909e-05,-0.014150234552616834,-0.0149384794213524,192149.0,0.015448063855584612
RNA Destabilization (GO:0050779),19,0.0001027717493856162,0.062033979740192625,-0.0149384794213524,201943.0,0.019945060220051374
Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882),20,0.00015876544115721596,0.15776642862256426,-0.0149384794213524,211565.0,0.02875771357494372
DNA Integrity Checkpoint Signaling (GO:0031570),42,0.00022257837017111313,0.021073487622776037,-0.0149384794213524,431970.0,0.03779658948468215
Positive Regulation Of Vacuole Organization (GO:0044090),21,0.00024249093016056854,0.14239950894280823,-0.0149384794213524,221148.0,0.03857580694535616
Positive Regulation Of Translational Initiation (GO:0045948),21,0.0002555629462703021,0.01201846012259988,-0.0149384794213524,221079.0,0.03857580694535616
Acetylcholine Receptor Signaling Pathway (GO:0095500),21,0.00027526108707521087,-0.009972995378317804,-0.0149384794213524,220981.0,0.03936233545175515
Cell-Cell Junction Assembly (GO:0007043),70,0.00029105821020101536,0.14574979418040332,-0.0149384794213524,709152.0,0.039540257855807934
Negative Regulation Of Protein Localization To Nucleus (GO:1900181),22,0.00034924115056280335,0.32125617988218935,-0.0149384794213524,230759.0,0.04256327436820065
Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880),22,0.00035512041564625467,0.14206598243675367,-0.0149384794213524,230736.0,0.04256327436820065
Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033143),22,0.00036030743852359773,0.09237065465773141,-0.0149384794213524,230716.0,0.04256327436820065
Regulation Of Lysosomal Lumen pH (GO:0035751),23,0.0005059177233650357,0.11518671027702727,-0.0149384794213524,240316.0,0.056604561016518784
Regulation Of mRNA Catabolic Process (GO:0061013),46,0.0005210023179655593,0.0169037047414441,-0.0149384794213524,470139.0,0.056604561016518784
Stress Granule Assembly (GO:0034063),23,0.000541670440349462,0.002368457254897817,-0.0149384794213524,240217.0,0.056604561016518784
Regulation Of Intracellular Estrogen Receptor Signaling Pathway (GO:0033146),25,0.0009497227233850605,0.07949355856824133,-0.0149384794213524,259465.0,0.09557024590508183
Cell-Cell Adhesion Mediated By Cadherin (GO:0044331),25,0.0009906993655588545,0.0023089169457900503,-0.0149384794213524,259398.0,0.09613322057940742
Negative Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904357),25,0.0010450190839601935,-0.0057679384809874445,-0.0149384794213524,259313.0,0.09790747762482226
Regulation Of Cell Development (GO:0060284),51,0.00114118231053143,0.03169447759618328,-0.0149384794213524,518040.0,0.10335307792379651
Positive Regulation Of Adenylate Cyclase Activity (GO:0045762),26,0.001255043798330471,0.04149761435874078,-0.0149384794213524,269039.0,0.10766235594608299
Regulation Of Cardiac Muscle Cell Contraction (GO:0086004),26,0.0012680144977087434,0.03242816948149551,-0.0149384794213524,269022.0,0.10766235594608299
Cellular Response To Ionizing Radiation (GO:0071479),52,0.0013472606607373148,0.010893893590617114,-0.0149384794213524,527554.0,0.11092446106737225
Vacuolar Acidification (GO:0007035),27,0.0015973165526766038,0.09590890439578584,-0.0149384794213524,278642.0,0.1276443845183039
Clathrin-Dependent Endocytosis (GO:0072583),27,0.001709415639705577,0.09351802537193674,-0.0149384794213524,278525.0,0.1326994940880015
Eye Development (GO:0001654),55,0.0020473644983169956,0.15280676251247743,-0.0149384794213524,556198.0,0.1545191483868688
Positive Regulation Of Calcium Ion Transport (GO:0051928),28,0.0022334866491680047,0.0036283427340801566,-0.0149384794213524,288045.0,0.16401035745376943
Regulation Of Calcium Ion Transport (GO:0051924),56,0.0024555244854974367,-0.0035056549182512996,-0.0149384794213524,565610.0,0.17557000071306672
Signal Transduction In Response To DNA Damage (GO:0042770),57,0.002605175501970435,0.01159665419011066,-0.0149384794213524,575325.0,0.1812991124185754
Regulation Of Muscle Contraction (GO:0006937),29,0.0026691072862506503,-0.004016119795965725,-0.0149384794213524,297697.0,0.1812991124185754
Regulation Of Voltage-Gated Calcium Channel Activity (GO:1901385),29,0.0028019510212734847,-0.005143118954327077,-0.0149384794213524,297606.0,0.18568051036097705
Selective Autophagy (GO:0061912),58,0.0028707483116159334,0.06694246232972093,-0.0149384794213524,584933.0,0.18571007530144026
Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156),58,0.003146391621851874,-0.010697225331595032,-0.0149384794213524,584688.0,0.19880804736212887
Negative Regulation Of DNA Biosynthetic Process (GO:2000279),31,0.00410279903151998,-0.007542881888800016,-0.0149384794213524,316784.0,0.25334784019635875
Regulation Of Translational Initiation (GO:0006446),64,0.00553959113664013,0.03305044440418175,-0.0149384794213524,642155.0,0.33100078734768335
Regulation Of Lamellipodium Assembly (GO:0010591),33,0.0056414962043816914,-0.005914812729768153,-0.0149384794213524,335997.0,0.33100078734768335
Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281),33,0.005725814135201001,0.061023434788517024,-0.0149384794213524,335965.0,0.33100078734768335
Embryonic Limb Morphogenesis (GO:0030326),34,0.0063583079551987375,0.036851778372907734,-0.0149384794213524,345660.0,0.3535167952676723
Adherens Junction Organization (GO:0034332),34,0.006375532929008444,0.15386907264254698,-0.0149384794213524,345654.0,0.3535167952676723
Regulation Of Metal Ion Transport (GO:0010959),34,0.006532425505158559,0.0038902299821307394,-0.0149384794213524,345600.0,0.3549720019503161
Ras Protein Signal Transduction (GO:0007265),143,0.006737919985245358,-0.012852627639988692,-0.0149384794213524,1412138.0,0.3589593843119929
Anterograde Trans-Synaptic Signaling (GO:0098916),188,0.007069123216452262,-0.011404719128555483,-0.0149384794213524,1846691.0,0.36936168805963066
Regulation Of Cardiac Muscle Contraction (GO:0055117),35,0.00792226611559238,-0.0068026556527680335,-0.0149384794213524,355077.0,0.40612824596348107
Positive Regulation Of RNA Splicing (GO:0033120),36,0.008657177732993335,0.01798413615910467,-0.0149384794213524,364775.0,0.435584294454498
Muscle Tissue Development (GO:0060537),36,0.009052584419627275,-0.005267023045326676,-0.0149384794213524,364669.0,0.44029131823750906
Positive Regulation Of Translation (GO:0045727),108,0.009074830261796285,0.0019774540305267404,-0.0149384794213524,1070811.0,0.44029131823750906
Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662),37,0.010361030475507066,-0.00881603985499521,-0.0149384794213524,374239.0,0.49387578599917015
Negative Regulation Of Cell Adhesion (GO:0007162),72,0.011140351774675128,0.0651751140092924,-0.0149384794213524,718422.0,0.5218678581343503
Small GTPase Mediated Signal Transduction (GO:0007264),111,0.011487078930545187,-0.014138931447931005,-0.0149384794213524,1099022.0,0.5289897195642589
Positive Regulation Of Monoatomic Ion Transport (GO:0043270),39,0.013445498343176892,-0.001608453258477745,-0.0149384794213524,393348.0,0.6088569833068603
Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120032),75,0.013828025279594555,0.005195092589622697,-0.0149384794213524,747033.0,0.6159138472894821
Protein Localization To Cilium (GO:0061512),39,0.014081958306513601,-0.014909224168395312,-0.0149384794213524,393227.0,0.6171077535289913
Regulation Of Heart Rate By Cardiac Conduction (GO:0086091),40,0.01502485821254272,0.008751308649667121,-0.0149384794213524,402927.0,0.647976821642517
Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),41,0.016318411144968747,0.029093715318501724,-0.0149384794213524,412569.0,0.6865836799751301
Chemical Synaptic Transmission (GO:0007268),262,0.016645212726759225,-0.012402783845194462,-0.0149384794213524,2550558.0,0.6865836799751301
Skeletal Muscle Tissue Development (GO:0007519),41,0.016678146072270368,-0.006446468944842006,-0.0149384794213524,412509.0,0.6865836799751301
Macromolecule Modification (GO:0043412),80,0.01934371927469244,0.016467456523708145,-0.0149384794213524,794654.0,0.7638331648582983
Positive Regulation Of Calcium Ion Transmembrane Transport (GO:1904427),42,0.019574265661166115,-0.014932847733539574,-0.0149384794213524,421918.0,0.7638331648582983
Modulation Of Chemical Synaptic Transmission (GO:0050804),122,0.01959840165004399,-0.0021009330661881298,-0.0149384794213524,1203459.0,0.7638331648582983
mRNA Destabilization (GO:0061157),43,0.019679176128112215,0.019072607184911675,-0.0149384794213524,431755.0,0.7638331648582983
mRNA Catabolic Process (GO:0006402),43,0.02019517425365971,-0.006219614617423546,-0.0149384794213524,431680.0,0.772820964044978
"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",14,0.021053722095271333,0.11301195308791068,-0.0149384794213524,144212.0,0.7944855962896141
Positive Regulation Of mRNA Catabolic Process (GO:0061014),45,0.023799704424209086,0.017561003335744375,-0.0149384794213524,450880.0,0.8316115810397458
Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042058),45,0.02420880963406757,-0.005356592550717705,-0.0149384794213524,450828.0,0.8316115810397458
Negative Regulation Of Cold-Induced Thermogenesis (GO:0120163),45,0.02470429238375639,-0.005368904421122933,-0.0149384794213524,450766.0,0.8316115810397458
Cardiac Conduction (GO:0061337),45,0.024857826451778454,0.006119109975109397,-0.0149384794213524,450747.0,0.8316115810397458
Regulation Of Nervous System Development (GO:0051960),46,0.026016259498608734,0.016854492841024887,-0.0149384794213524,460441.0,0.8316115810397458
Ribosomal Small Subunit Assembly (GO:0000028),15,0.0262432314091444,0.31587466472826703,-0.0149384794213524,153822.0,0.8316115810397458
Phagosome Maturation (GO:0090382),15,0.026316683603685855,0.23692846567209727,-0.0149384794213524,153817.0,0.8316115810397458
Calcium-Mediated Signaling (GO:0019722),85,0.02639822831033835,-0.0034976081321112114,-0.0149384794213524,842187.0,0.8316115810397458
Regulation Of miRNA-mediated Gene Silencing (GO:0060964),15,0.02656770767611775,0.060419592501729874,-0.0149384794213524,153800.0,0.8316115810397458
Negative Regulation Of Macrophage Activation (GO:0043031),15,0.026656780664763877,0.046115126166978555,-0.0149384794213524,153794.0,0.8316115810397458
Protein Localization To Mitochondrion (GO:0070585),15,0.02680578990540359,0.02459396855210607,-0.0149384794213524,153784.0,0.8316115810397458
Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339),15,0.027015570758966358,0.007201896926855659,-0.0149384794213524,153770.0,0.8316115810397458
Regulation Of rRNA Processing (GO:2000232),15,0.027015570758966358,0.007201896926855659,-0.0149384794213524,153770.0,0.8316115810397458
Negative Regulation Of Telomere Maintenance (GO:0032205),15,0.027136059519953275,0.0002739366880564403,-0.0149384794213524,153762.0,0.8316115810397458
Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0048008),15,0.027151152093903466,-0.00016128412179732058,-0.0149384794213524,153761.0,0.8316115810397458
Positive Regulation Of Transcription By RNA Polymerase III (GO:0045945),15,0.027272144999892226,-0.004169741070811574,-0.0149384794213524,153753.0,0.8316115810397458
Regulation Of Rac Protein Signal Transduction (GO:0035020),15,0.02753074865273055,-0.009863607999422134,-0.0149384794213524,153736.0,0.8316115810397458
miRNA Metabolic Process (GO:0010586),15,0.027699167332999586,-0.012084776664964414,-0.0149384794213524,153725.0,0.8316115810397458
Branched-Chain Amino Acid Metabolic Process (GO:0009081),15,0.027853019460661342,-0.013613345046538381,-0.0149384794213524,153715.0,0.8316115810397458
Negative Regulation Of Platelet Activation (GO:0010544),15,0.028791152265154923,-0.014926847525825482,-0.0149384794213524,153655.0,0.8411350613379132
Positive Regulation Of Collagen Biosynthetic Process (GO:0032967),15,0.028791152265154923,-0.014926847525825482,-0.0149384794213524,153655.0,0.8411350613379132
Positive Regulation Of Autophagosome Assembly (GO:2000786),16,0.03241458613879032,0.13432987506754818,-0.0149384794213524,163399.0,0.8837730314496842
Cell Communication By Electrical Coupling Involved In Cardiac Conduction (GO:0086064),16,0.03263532334287373,0.044282112477744225,-0.0149384794213524,163386.0,0.8837730314496842
Cellular Response To Gamma Radiation (GO:0071480),16,0.03268643835566601,0.035895226492353764,-0.0149384794213524,163383.0,0.8837730314496842
Response To UV-B (GO:0010224),16,0.03268643835566601,0.035895226492353764,-0.0149384794213524,163383.0,0.8837730314496842
Activation Of Cysteine-Type Endopeptidase Activity (GO:0097202),16,0.03290870016595202,0.012402438141787212,-0.0149384794213524,163370.0,0.8837730314496842
Cell Surface Toll-Like Receptor Signaling Pathway (GO:0140895),16,0.03290870016595202,0.012402438141787212,-0.0149384794213524,163370.0,0.8837730314496842
Chondroitin Sulfate Metabolic Process (GO:0030204),16,0.03296016786552472,0.009823360791510267,-0.0149384794213524,163367.0,0.8837730314496842
Positive Regulation Of Lymphocyte Migration (GO:2000403),16,0.033028894638493525,0.006828094505493068,-0.0149384794213524,163363.0,0.8837730314496842
Positive Regulation Of Positive Chemotaxis (GO:0050927),16,0.03328767252509988,-0.0018430431910252077,-0.0149384794213524,163348.0,0.8837730314496842
Regulation Of RNA Metabolic Process (GO:0051252),90,0.033503357467544154,-0.0003601274463129985,-0.0149384794213524,889866.0,0.8837730314496842
Heart Process (GO:0003015),16,0.03474992388391337,-0.014850279639297533,-0.0149384794213524,163265.0,0.8878318219820439
Positive Regulation Of Collagen Metabolic Process (GO:0010714),16,0.03509197110471751,-0.014927574519295914,-0.0149384794213524,163246.0,0.8878318219820439
Regulation Of Fibrinolysis (GO:0051917),16,0.03509197110471751,-0.014927574519295914,-0.0149384794213524,163246.0,0.8878318219820439
"G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)",50,0.0373166751445636,-0.012852976123277871,-0.0149384794213524,498540.0,0.8878318219820439
Positive Regulation Of Establishment Of Protein Localization (GO:1904951),17,0.038594582676352275,0.27421291282922444,-0.0149384794213524,173002.0,0.8878318219820439
Regulation Of Telomerase RNA Localization To Cajal Body (GO:1904872),17,0.038594582676352275,0.27421291282922444,-0.0149384794213524,173002.0,0.8878318219820439
Negative Regulation Of Leukocyte Activation (GO:0002695),17,0.039109124517054505,0.03893234903893962,-0.0149384794213524,172975.0,0.8878318219820439
Embryonic Digit Morphogenesis (GO:0042733),17,0.03914745982309852,0.032905008497429875,-0.0149384794213524,172973.0,0.8878318219820439
Regulation Of Telomere Maintenance Via Telomerase (GO:0032210),51,0.039457718590465936,0.08146644116938871,-0.0149384794213524,508153.0,0.8878318219820439
Regulation Of Hematopoietic Progenitor Cell Differentiation (GO:1901532),17,0.03957117018905868,0.0045971467682429466,-0.0149384794213524,172951.0,0.8878318219820439
Regulation Of Macroautophagy (GO:0016241),94,0.039664378970896946,0.05465777676664856,-0.0149384794213524,928010.0,0.8878318219820439
Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904356),17,0.039726168420129875,-0.001515759324815189,-0.0149384794213524,172943.0,0.8878318219820439
Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279),51,0.03975975760280742,0.03421334742032782,-0.0149384794213524,508126.0,0.8878318219820439
Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706),17,0.03978441987017675,-0.0020125190977649246,-0.0149384794213524,172940.0,0.8878318219820439
Rac Protein Signal Transduction (GO:0016601),17,0.03982329273418107,-0.0026133629692797486,-0.0149384794213524,172938.0,0.8878318219820439
Facultative Heterochromatin Formation (GO:0140718),17,0.03990113109010426,-0.005436651464992848,-0.0149384794213524,172934.0,0.8878318219820439
Positive Regulation Of Peptidyl-Lysine Acetylation (GO:2000758),17,0.03990113109010426,-0.005436651464992848,-0.0149384794213524,172934.0,0.8878318219820439
Embryonic Heart Tube Development (GO:0035050),17,0.04106367580127763,-0.0145391301005154,-0.0149384794213524,172875.0,0.8878318219820439
Negative Regulation Of Innate Immune Response (GO:0045824),52,0.041465555058045674,0.009059784598803085,-0.0149384794213524,517780.0,0.8878318219820439
Regulation Of Protein Localization To Nucleus (GO:1900180),52,0.04246403639687144,0.09095831121256956,-0.0149384794213524,517694.0,0.8878318219820439
Recombinational Repair (GO:0000725),95,0.04261240802453391,0.008787064068396407,-0.0149384794213524,937389.0,0.8878318219820439
Negative Regulation Of Metabolic Process (GO:0009892),52,0.04272256124941565,-0.006657116440384594,-0.0149384794213524,517672.0,0.8878318219820439
Renal Absorption (GO:0070293),17,0.04282790073451101,-0.014938440730573047,-0.0149384794213524,172788.0,0.8878318219820439
Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193),52,0.042970520420642255,-0.01293318778858843,-0.0149384794213524,517651.0,0.8878318219820439
Actin Cytoskeleton Reorganization (GO:0031532),53,0.045171226520517554,-0.009319969971875414,-0.0149384794213524,527267.0,0.8878318219820439
Eye Morphogenesis (GO:0048592),18,0.04529559938433003,0.4447718219833475,-0.0149384794213524,182596.0,0.8878318219820439
Melanosome Assembly (GO:1903232),18,0.04548465177385914,0.19495064148985566,-0.0149384794213524,182587.0,0.8878318219820439
