Pathway,n_genes,p_val,mean_score,median_score,stat,FDR
Reticulophagy (GO:0061709),16,7.379667593393801e-11,0.11839419611956949,-0.013886503291381,182941.0,2.0050556851250957e-07
Regulation Of Adenylate Cyclase Activity (GO:0045761),17,3.80856257371838e-10,0.10239613559599398,-0.013886503291381,192368.0,5.17393225639642e-07
Regulation Of Smooth Muscle Contraction (GO:0006940),20,1.2896885751701744e-08,-0.013790908060180263,-0.013886503291381,220987.0,1.1680279529124545e-05
Negative Regulation Of Immune Effector Process (GO:0002698),15,9.209872673879882e-06,0.0045050534711615796,-0.013886503291381,163546.0,0.00625580601373291
Organelle Disassembly (GO:1903008),54,1.6289661853778156e-05,0.026094250764713094,-0.013886503291381,556414.0,0.00701544540974082
Lysosomal Lumen Acidification (GO:0007042),16,1.8142948609114877e-05,0.11179831915067404,-0.013886503291381,173182.0,0.00701544540974082
Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881),16,1.9300223595568166e-05,0.06701640253587378,-0.013886503291381,173121.0,0.00701544540974082
Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012),16,2.2632305091365138e-05,-0.013472855671419239,-0.013886503291381,172963.0,0.00701544540974082
DNA Damage Checkpoint Signaling (GO:0000077),34,2.5382413691435978e-05,0.008962750459931433,-0.013886503291381,355401.0,0.00701544540974082
Skeletal Muscle Organ Development (GO:0060538),34,2.5820557268092823e-05,0.06400233383149583,-0.013886503291381,355376.0,0.00701544540974082
G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007213),17,4.379821460189476e-05,-0.013869554319419136,-0.013886503291381,182520.0,0.010818159006668007
Positive Regulation Of DNA Replication (GO:0045740),18,6.964245239048574e-05,-0.0012752194872176935,-0.013886503291381,192216.0,0.015768211928745814
Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745),18,7.590580659807483e-05,-0.013862782787954383,-0.013886503291381,192119.0,0.01586431357899764
RNA Destabilization (GO:0050779),19,0.00010130267011686705,0.07912380969234982,-0.013886503291381,201960.0,0.019659953907680557
Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882),20,0.00017063720505978465,0.05083582137042281,-0.013886503291381,211475.0,0.03090808574316233
DNA Integrity Checkpoint Signaling (GO:0031570),42,0.00022512720880751844,0.004610511650157638,-0.013886503291381,431949.0,0.03822941414562672
Positive Regulation Of Translational Initiation (GO:0045948),21,0.0002520909410427178,0.010779719154209024,-0.013886503291381,221097.0,0.039855134268244406
Positive Regulation Of Vacuole Organization (GO:0044090),21,0.0002640384309269044,-0.007017878210635128,-0.013886503291381,221036.0,0.039855134268244406
Acetylcholine Receptor Signaling Pathway (GO:0095500),21,0.00029927633662561634,-0.013872782695030924,-0.013886503291381,220870.0,0.04279651613746314
Cell-Cell Junction Assembly (GO:0007043),70,0.0003161681386550716,0.00015246488908779275,-0.013886503291381,708951.0,0.04295144163629148
Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033143),22,0.00035796462843476994,0.08166721746140317,-0.013886503291381,230725.0,0.04446573343729769
Negative Regulation Of Protein Localization To Nucleus (GO:1900181),22,0.0003600464245935036,0.07511686144891774,-0.013886503291381,230717.0,0.04446573343729769
Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880),22,0.0003790214686377838,0.044951973673895196,-0.013886503291381,230646.0,0.04477397088212429
Regulation Of Lysosomal Lumen pH (GO:0035751),23,0.0005147340182435756,0.07354641666830944,-0.013886503291381,240291.0,0.05548558961382486
Regulation Of mRNA Catabolic Process (GO:0061013),46,0.0005284267675145074,0.02453128026816916,-0.013886503291381,470110.0,0.05548558961382486
Stress Granule Assembly (GO:0034063),23,0.0005309625800366015,0.0046301125203171865,-0.013886503291381,240246.0,0.05548558961382486
Regulation Of Intracellular Estrogen Receptor Signaling Pathway (GO:0033146),25,0.0009443385872000837,0.07020077097106907,-0.013886503291381,259474.0,0.09502844227491213
Cell-Cell Adhesion Mediated By Cadherin (GO:0044331),25,0.0010378387961369636,-0.008023581630894587,-0.013886503291381,259324.0,0.0981531591295969
Negative Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904357),25,0.0010476413745889991,-0.005367434954896765,-0.013886503291381,259309.0,0.0981531591295969
Regulation Of Cell Development (GO:0060284),51,0.0011476643498545655,0.023312079833571805,-0.013886503291381,518027.0,0.10394013461849516
Positive Regulation Of Adenylate Cyclase Activity (GO:0045762),26,0.0012935435311055574,0.0621441133004113,-0.013886503291381,268989.0,0.11056127540057978
Regulation Of Cardiac Muscle Cell Contraction (GO:0086004),26,0.0013021570897381498,0.038799478658083926,-0.013886503291381,268978.0,0.11056127540057978
Cellular Response To Ionizing Radiation (GO:0071479),52,0.001360506222679624,-0.0035380934457138703,-0.013886503291381,527531.0,0.11201501233395571
Vacuolar Acidification (GO:0007035),27,0.0016206906228244517,0.060593391489096045,-0.013886503291381,278617.0,0.1295122477121775
Clathrin-Dependent Endocytosis (GO:0072583),27,0.001721308849446932,0.056559648948740195,-0.013886503291381,278513.0,0.13362274696992327
Eye Development (GO:0001654),55,0.0021783380189150142,-0.013051645156843344,-0.013886503291381,556042.0,0.16094834605934413
Positive Regulation Of Calcium Ion Transport (GO:0051928),28,0.0021917882974588636,0.05648018347262141,-0.013886503291381,288079.0,0.16094834605934413
Regulation Of Calcium Ion Transport (GO:0051924),56,0.0023608936538656623,0.052617591015245546,-0.013886503291381,565711.0,0.16880389625139486
Signal Transduction In Response To DNA Damage (GO:0042770),57,0.002626193733232598,-0.000257123860773583,-0.013886503291381,575304.0,0.18295816341520432
Regulation Of Voltage-Gated Calcium Channel Activity (GO:1901385),29,0.0027428402420748644,0.03312407356005197,-0.013886503291381,297646.0,0.18630742344293516
Regulation Of Muscle Contraction (GO:0006937),29,0.0028943096466060333,-0.013826871601887046,-0.013886503291381,297545.0,0.1908698458468932
Selective Autophagy (GO:0061912),58,0.0029505092107359274,0.022604724132329473,-0.013886503291381,584860.0,0.1908698458468932
Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156),58,0.0032007255778016396,-0.013632334563473392,-0.013886503291381,584642.0,0.2022411952299315
Negative Regulation Of DNA Biosynthetic Process (GO:2000279),31,0.004110938527689541,-0.007016286890990487,-0.013886503291381,316780.0,0.25385045408482915
Regulation Of Lamellipodium Assembly (GO:0010591),33,0.005537650344451583,-0.003911763784104588,-0.013886503291381,336037.0,0.3299404479861326
Regulation Of Translational Initiation (GO:0006446),64,0.005586036292735406,-0.0036235706690135225,-0.013886503291381,642130.0,0.3299404479861326
Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281),33,0.005728466999611951,0.0251440366671563,-0.013886503291381,335964.0,0.33115414548820576
Regulation Of Metal Ion Transport (GO:0010959),34,0.006247346240735423,0.0956483349794619,-0.013886503291381,345699.0,0.3536258278349613
Ras Protein Signal Transduction (GO:0007265),143,0.006493965841825053,0.021836575530269107,-0.013886503291381,1412306.0,0.357351552461895
Adherens Junction Organization (GO:0034332),34,0.0067017295729605774,0.005192788542266394,-0.013886503291381,345543.0,0.357351552461895
Embryonic Limb Morphogenesis (GO:0030326),34,0.006707739851143409,-0.011167284756866177,-0.013886503291381,345541.0,0.357351552461895
Anterograde Trans-Synaptic Signaling (GO:0098916),188,0.007345353499145314,-0.013440074863467414,-0.013886503291381,1846489.0,0.3837947203303427
Regulation Of Cardiac Muscle Contraction (GO:0055117),35,0.007681906661251364,0.025165109448036904,-0.013886503291381,355148.0,0.3938064226154709
Positive Regulation Of RNA Splicing (GO:0033120),36,0.008712195072334348,-0.0020702935481953025,-0.013886503291381,364760.0,0.4364549466740563
Muscle Tissue Development (GO:0060537),36,0.008939103022607232,0.020748990966055193,-0.013886503291381,364699.0,0.4364549466740563
Positive Regulation Of Translation (GO:0045727),108,0.008995758930344922,0.004838838022500285,-0.013886503291381,1070847.0,0.4364549466740563
Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662),37,0.010686246146128502,-0.013796704239412023,-0.013886503291381,374163.0,0.5078412734237906
Small GTPase Mediated Signal Transduction (GO:0007264),111,0.010840925233190966,0.032129431742314814,-0.013886503291381,1099270.0,0.5078412734237906
Negative Regulation Of Cell Adhesion (GO:0007162),72,0.011457177612997938,-0.004505571465282852,-0.013886503291381,718325.0,0.5276127385511084
Positive Regulation Of Monoatomic Ion Transport (GO:0043270),39,0.013271190470206,0.03663316925713355,-0.013886503291381,393382.0,0.600963741792495
Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120032),75,0.013687585108357042,0.01111819420935294,-0.013886503291381,747070.0,0.6096585039246899
Protein Localization To Cilium (GO:0061512),39,0.014124938525181109,-0.013874165452704484,-0.013886503291381,393219.0,0.6189912576276947
Regulation Of Heart Rate By Cardiac Conduction (GO:0086091),40,0.015478805312641614,-0.013721044243396296,-0.013886503291381,402847.0,0.6675541910229725
Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),41,0.01646748500967697,0.03911393339426143,-0.013886503291381,412544.0,0.6895929617160548
Skeletal Muscle Tissue Development (GO:0007519),41,0.016497439275503702,0.016525150202953216,-0.013886503291381,412539.0,0.6895929617160548
Chemical Synaptic Transmission (GO:0007268),262,0.01710237672065597,-0.013566106932092396,-0.013886503291381,2550370.0,0.7040478416670042
Positive Regulation Of Calcium Ion Transmembrane Transport (GO:1904427),42,0.019512663793374373,-0.01388222502197522,-0.013886503291381,421927.0,0.7706940171015123
mRNA Destabilization (GO:0061157),43,0.01956378550589909,0.02721107686422099,-0.013886503291381,431772.0,0.7706940171015123
Macromolecule Modification (GO:0043412),80,0.019725815040305298,-0.005217135252149036,-0.013886503291381,794577.0,0.7706940171015123
Modulation Of Chemical Synaptic Transmission (GO:0050804),122,0.019927471494512107,-0.0023720742331560982,-0.013886503291381,1203378.0,0.7706940171015123
mRNA Catabolic Process (GO:0006402),43,0.020139593380275073,-0.0051469951975956635,-0.013886503291381,431688.0,0.7706940171015123
"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",14,0.020902761301721674,0.141308199737353,-0.013886503291381,144224.0,0.7887889230108026
Positive Regulation Of mRNA Catabolic Process (GO:0061014),45,0.023667225565867325,0.025384517746194234,-0.013886503291381,450897.0,0.8288528862828194
