Pathway,n_genes,p_val,mean_score,median_score,stat,FDR
Reticulophagy (GO:0061709),16,6.690346504410084e-11,0.7070977708796347,-0.0330146359832503,183005.0,1.8177671452482198e-07
Regulation Of Adenylate Cyclase Activity (GO:0045761),17,3.421171547914745e-10,0.3142388834428323,-0.0330146359832503,192443.0,4.647661547842181e-07
Regulation Of Smooth Muscle Contraction (GO:0006940),20,8.932031534801259e-09,0.34294562493839453,-0.0330146359832503,221292.0,8.089443226685006e-06
Negative Regulation Of Immune Effector Process (GO:0002698),15,9.209872673879882e-06,0.19847796286420474,-0.0330146359832503,163546.0,0.00625580601373291
Organelle Disassembly (GO:1903008),54,1.5728276469539667e-05,0.18957369016729,-0.0330146359832503,556477.0,0.00692854028277079
Lysosomal Lumen Acidification (GO:0007042),16,1.7491210021406075e-05,1.0186920882053143,-0.0330146359832503,173218.0,0.00692854028277079
Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881),16,1.7850490239011973e-05,1.0137441268641785,-0.0330146359832503,173198.0,0.00692854028277079
Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012),16,2.1200325860306868e-05,0.013090155212953317,-0.0330146359832503,173028.0,0.007175567054629762
DNA Damage Checkpoint Signaling (GO:0000077),34,2.5365035363465816e-05,0.05492006305263724,-0.0330146359832503,355402.0,0.007175567054629762
Skeletal Muscle Organ Development (GO:0060538),34,2.6409889785166592e-05,0.07751523449089337,-0.0330146359832503,355343.0,0.007175567054629762
G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007213),17,3.656617901445624e-05,0.10851647584460287,-0.0330146359832503,182711.0,0.009031846216570692
Positive Regulation Of DNA Replication (GO:0045740),18,6.920982449839503e-05,-0.004999443643168856,-0.0330146359832503,192223.0,0.015311614460191377
Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745),18,7.326131320665731e-05,-0.030328740433707233,-0.0330146359832503,192159.0,0.015311614460191377
RNA Destabilization (GO:0050779),19,0.00010294589187500358,0.17324300904724604,-0.0330146359832503,201941.0,0.019978856301741763
Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882),20,0.00016043111687909115,0.8043923742946928,-0.0330146359832503,211552.0,0.02905942297069938
DNA Integrity Checkpoint Signaling (GO:0031570),42,0.00022500522042655783,0.038170596569611026,-0.0330146359832503,431950.0,0.037048366488671325
