Pathway,n_genes,p_val,mean_score,median_score,stat,FDR
Regulation Of Smooth Muscle Contraction (GO:0006940),20,2.6994086632325072e-21,0.880377780634276,-0.050796008001705,256997.5,7.328894520676257e-18
Regulation Of Muscle Contraction (GO:0006937),29,9.491359689677631e-11,1.4671327342451594,-0.050796008001705,332286.5,1.2884520778737385e-07
Heart Process (GO:0003015),16,1.055601575782717e-05,3.674605217937809,-0.050796008001705,180558.5,0.006836208839179353
Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881),16,1.1611282123501557e-05,0.2400742844887195,-0.050796008001705,180429.5,0.006836208839179353
Reticulophagy (GO:0061709),16,1.258970320290857e-05,0.07673415320129193,-0.050796008001705,180319.5,0.006836208839179353
"Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)",54,2.2699674995720634e-05,-0.001202864785369134,-0.050796008001705,566912.0,0.009842778493972451
Regulation Of Adenylate Cyclase Activity (GO:0045761),17,2.5377329450389378e-05,0.16498270159445383,-0.050796008001705,189772.0,0.009842778493972451
Response To Ethanol (GO:0045471),18,5.7000081344036185e-05,0.10264489446654936,-0.050796008001705,198935.5,0.017323123086096407
3'-UTR-mediated mRNA Stabilization (GO:0070935),18,6.033144750767489e-05,-0.02505358070754453,-0.050796008001705,198846.5,0.017323123086096407
Positive Regulation Of DNA Replication (GO:0045740),18,6.380524156941587e-05,-0.026954138448828144,-0.050796008001705,198758.5,0.017323123086096407
Gastrulation (GO:0007369),19,9.725090955163211e-05,0.05592100130661143,-0.050796008001705,208410.0,0.024003292675698288
Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882),20,0.000135170694739297,0.18190022599063455,-0.050796008001705,218149.5,0.030582369684765947
Skeletal Muscle Organ Development (GO:0060538),34,0.00020315617709526395,0.1689976224485436,-0.050796008001705,359937.0,0.04242838621643397
Acetylcholine Receptor Signaling Pathway (GO:0095500),21,0.00022374370507326552,0.12280663866135925,-0.050796008001705,227513.0,0.043390297090994
Positive Regulation Of Translational Initiation (GO:0045948),21,0.0002634681317814032,-0.016062204757883326,-0.050796008001705,227211.0,0.04768773185243398
Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880),22,0.00033114965232043794,0.16074602290042186,-0.050796008001705,237003.5,0.05619195662812431
Positive Regulation Of Bone Mineralization (GO:0030501),38,0.0006792778245022306,0.010999997843747772,-0.050796008001705,397232.0,0.10364630153055306
ATP Biosynthetic Process (GO:0006754),24,0.0006871578002025617,0.397073511408184,-0.050796008001705,255892.5,0.10364630153055306
Neuron Migration (GO:0001764),55,0.0007306597180175075,0.01641831617467822,-0.050796008001705,566949.0,0.10440742812723856
Negative Regulation Of Neuron Apoptotic Process (GO:0043524),74,0.0009211833186791603,0.124005766625804,-0.050796008001705,754605.0,0.12500483244974017
Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120032),75,0.0009668882067935704,0.17988102704327458,-0.050796008001705,764303.5,0.12500483244974017
Regulation Of Heart Rate By Cardiac Conduction (GO:0086091),40,0.0010799904091537093,0.30995223509660447,-0.050796008001705,416007.0,0.13307888552101715
"Chemical Synaptic Transmission, Postsynaptic (GO:0099565)",25,0.0011598929482275451,0.0076423722509444255,-0.050796008001705,264882.0,0.13307888552101715
Heart Contraction (GO:0060047),41,0.001176387938307334,1.411982587831393,-0.050796008001705,425770.5,0.13307888552101715
Positive Regulation Of Ossification (GO:0045778),41,0.001309531756922238,0.00647833887944635,-0.050796008001705,425457.5,0.14221514880175504
Calcium Ion Transmembrane Transport (GO:0070588),80,0.0016381685801434322,0.20909201637133817,-0.050796008001705,811531.0,0.17106260365728534
Positive Regulation Of Biomineral Tissue Development (GO:0070169),43,0.001927360844355159,0.0038144157686951243,-0.050796008001705,444269.5,0.18776013425874946
Clathrin-Dependent Endocytosis (GO:0072583),27,0.0019986478971052678,0.05894621124172906,-0.050796008001705,283795.0,0.18776013425874946
Membrane Repolarization During Action Potential (GO:0086011),14,0.0020055410289148193,0.9197234655996358,-0.050796008001705,151790.0,0.18776013425874946
Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901),28,0.00248642943542102,-0.002600957804188671,-0.050796008001705,293314.5,0.2153633260883799
Positive Regulation Of Calcium Ion Transport (GO:0051928),28,0.0025205108822659405,0.06763841733973767,-0.050796008001705,293279.5,0.2153633260883799
Regulation Of Neuron Apoptotic Process (GO:0043523),104,0.0025896633561047315,0.0811106484791375,-0.050796008001705,1045159.5,0.2153633260883799
Alpha-Amino Acid Catabolic Process (GO:1901606),29,0.002685525255991275,0.43012480094171157,-0.050796008001705,303169.0,0.2153633260883799
Calcium-Mediated Signaling (GO:0019722),84,0.0027731224881549716,0.10260791137659352,-0.050796008001705,848627.0,0.2153633260883799
Cardiac Conduction (GO:0061337),45,0.002776322804085929,0.2698690969745702,-0.050796008001705,463034.5,0.2153633260883799
Regulation Of Amyloid Fibril Formation (GO:1905906),15,0.002876971606943874,0.7565818727351468,-0.050796008001705,161357.5,0.21697160869035048
Regulation Of Voltage-Gated Calcium Channel Activity (GO:1901385),29,0.003158827451317535,0.21645646873335206,-0.050796008001705,302738.0,0.2317896359547867
Response To Alcohol (GO:0097305),29,0.0033193473449241785,0.04444317284065979,-0.050796008001705,302605.0,0.23410041447158936
Negative Regulation Of Immune Effector Process (GO:0002698),15,0.003362768384674764,0.05583326393672466,-0.050796008001705,161057.5,0.23410041447158936
Negative Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901020),30,0.0035036843630698034,0.5162339087486146,-0.050796008001705,312492.5,0.2378125761433629
Negative Regulation Of Neuron Death (GO:1901215),87,0.004020721481864305,0.09788596122169349,-0.050796008001705,876382.5,0.26625021520150216
