Pathway,n_genes,p_val,mean_score,median_score,stat,FDR
Regulation Of Smooth Muscle Contraction (GO:0006940),16,5.313160055383891e-09,-0.028357749681358436,-0.050796008001705,180660.0,1.4435855870478032e-05
3'-UTR-mediated mRNA Stabilization (GO:0070935),18,4.671392693567549e-08,-0.02505358070754453,-0.050796008001705,199613.0,4.665258495077913e-05
Positive Regulation Of DNA Replication (GO:0045740),18,5.151187149515547e-08,-0.026954138448828144,-0.050796008001705,199525.0,4.665258495077913e-05
Positive Regulation Of Translational Initiation (GO:0045948),21,5.373242375726055e-07,-0.016062204757883326,-0.050796008001705,228087.0,0.0003649774883711923
Activation Of Cysteine-Type Endopeptidase Activity (GO:0097202),16,0.00012020410042956723,-0.017793290807274414,-0.050796008001705,171089.0,0.05752171723847137
"Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)",53,0.00012702624344160037,-0.04187739400995556,-0.050796008001705,539989.0,0.05752171723847137
Response To Ethanol (GO:0045471),17,0.000242592171712335,-0.04209742869496104,-0.050796008001705,180345.0,0.0941604186489163
Renal Absorption (GO:0070293),17,0.0002785923104771092,-0.05048384246287589,-0.050796008001705,180166.0,0.09461691344578822
Gastrulation (GO:0007369),18,0.0003687256928629396,-0.03138191470107787,-0.050796008001705,189880.0,0.11131418972317854
Long-Term Synaptic Potentiation (GO:0060291),20,0.0008272174161000792,-0.04192052238693069,-0.050796008001705,208806.0,0.2247549719543915
Positive Regulation Of Chemotaxis (GO:0050921),44,0.0015824208351818947,-0.03315599994787965,-0.050796008001705,445540.0,0.3628897955974636
"Positive Regulation Of Synaptic Transmission, Glutamatergic (GO:0051968)",22,0.0016027521336656472,-0.04272738471554654,-0.050796008001705,227733.0,0.3628897955974636
Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042058),45,0.002014001119694964,-0.0441609039328493,-0.050796008001705,454792.0,0.40223591257492325
Stress Granule Assembly (GO:0034063),23,0.0020726178785605174,-0.035187281184915264,-0.050796008001705,237251.0,0.40223591257492325
Negative Regulation Of ERK1 And ERK2 Cascade (GO:0070373),46,0.002366644792213893,-0.042214707216474925,-0.050796008001705,464217.0,0.42867826002967646
Amyloid Fibril Formation (GO:1990000),24,0.0027766898597805655,-0.0353349084599771,-0.050796008001705,246664.0,0.46099593807761907
"Chemical Synaptic Transmission, Postsynaptic (GO:0099565)",24,0.002884405943069387,-0.044634514326094686,-0.050796008001705,246593.0,0.46099593807761907
Cell-Cell Adhesion Mediated By Cadherin (GO:0044331),25,0.003451270863435963,-0.0404662498219867,-0.050796008001705,256177.0,0.5133795229160439
Regulation Of Muscle Contraction (GO:0006937),25,0.003640605687378142,-0.04585476998098734,-0.050796008001705,256073.0,0.5133795229160439
Negative Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904357),25,0.003779017467177357,-0.0472776808159247,-0.050796008001705,256000.0,0.5133795229160439
Clathrin-Dependent Endocytosis (GO:0072583),26,0.004540554056744149,-0.03753374695609378,-0.050796008001705,265541.0,0.5874612081987549
Peptide Metabolic Process (GO:0006518),51,0.004871420132856913,-0.046623391395114115,-0.050796008001705,511299.0,0.5889270876906911
mRNA Stabilization (GO:0048255),52,0.00519917309890087,-0.04188516778449562,-0.050796008001705,520896.0,0.5889270876906911
Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901),27,0.005202153148537574,-0.035778440543496576,-0.050796008001705,275154.0,0.5889270876906911
Response To Alcohol (GO:0097305),28,0.006890599968381765,-0.045514727708324716,-0.050796008001705,284427.0,0.7488704045637303
Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138),89,0.00920317288650941,-0.0411051026293253,-0.050796008001705,878908.0,0.91128936878561
Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:0035924),31,0.01087801382964665,-0.03591320867620559,-0.050796008001705,312923.0,0.91128936878561
Regulation Of Cell Morphogenesis (GO:0022604),31,0.0115434932386174,-0.048264095399971695,-0.050796008001705,312776.0,0.91128936878561
Regulation Of Endothelial Cell Proliferation (GO:0001936),92,0.011551277923943887,-0.043789327035515566,-0.050796008001705,906996.0,0.91128936878561
Negative Regulation Of DNA Biosynthetic Process (GO:2000279),31,0.011716462907243663,-0.047958647368011184,-0.050796008001705,312739.0,0.91128936878561
Regulation Of Peptidyl-Serine Phosphorylation (GO:0033135),93,0.012063533472892265,-0.04152191576362121,-0.050796008001705,916482.0,0.91128936878561
DNA Damage Checkpoint Signaling (GO:0000077),33,0.014492247893427982,-0.041168050599004795,-0.050796008001705,331845.0,0.91128936878561
Regulation Of Translational Initiation (GO:0006446),63,0.015153989304024198,-0.0392180735870978,-0.050796008001705,624672.0,0.91128936878561
Positive Regulation Of Reproductive Process (GO:2000243),33,0.015450124399859542,-0.04778609968693456,-0.050796008001705,331675.0,0.91128936878561
Action Potential (GO:0001508),34,0.015961285145964916,-0.0314555986103609,-0.050796008001705,341399.0,0.91128936878561
Regulation Of T Cell Receptor Signaling Pathway (GO:0050856),34,0.016648281554934537,-0.03840905673317429,-0.050796008001705,341284.0,0.91128936878561
Regulation Of Postsynaptic Membrane Potential (GO:0060078),34,0.017493238313084036,-0.04644671834833301,-0.050796008001705,341148.0,0.91128936878561
Regulation Of Cell-Matrix Adhesion (GO:0001952),65,0.01876519198160685,-0.04708627500210603,-0.050796008001705,643306.0,0.91128936878561
Glutamate Receptor Signaling Pathway (GO:0007215),35,0.01891755289170638,-0.043460651056898926,-0.050796008001705,350731.0,0.91128936878561
Regulation Of Endocytosis (GO:0030100),66,0.019797034480591925,-0.04140674094702631,-0.050796008001705,652810.0,0.91128936878561
Neuropeptide Signaling Pathway (GO:0007218),66,0.02060053634400816,-0.04857742065126817,-0.050796008001705,652654.0,0.91128936878561
Positive Regulation Of Bone Mineralization (GO:0030501),36,0.021123082327146155,-0.04154440974821099,-0.050796008001705,360208.0,0.91128936878561
Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799),36,0.021385031582602434,-0.03927790553093816,-0.050796008001705,360172.0,0.91128936878561
Anterograde Trans-Synaptic Signaling (GO:0098916),185,0.024357146578017196,-0.0480431005754367,-0.050796008001705,1795343.0,0.91128936878561
Positive Regulation Of DNA Metabolic Process (GO:0051054),106,0.025543009566731795,-0.0451564466695695,-0.050796008001705,1038412.0,0.91128936878561
Positive Regulation Of Translation (GO:0045727),107,0.026194207193298808,-0.043327499876367984,-0.050796008001705,1047913.0,0.91128936878561
Internal Peptidyl-Lysine Acetylation (GO:0018393),38,0.027146015695652784,-0.0410311030279821,-0.050796008001705,379013.0,0.91128936878561
Second-Messenger-Mediated Signaling (GO:0019932),71,0.027368956732051395,-0.04414113101725018,-0.050796008001705,699986.0,0.91128936878561
Regulation Of Heart Rate By Cardiac Conduction (GO:0086091),38,0.027796161911711546,-0.04592804134507537,-0.050796008001705,378939.0,0.91128936878561
Heart Contraction (GO:0060047),39,0.028726235625590495,-0.0369643850120432,-0.050796008001705,388604.0,0.91128936878561
Positive Regulation Of Ossification (GO:0045778),39,0.029224885962787883,-0.04225607115232591,-0.050796008001705,388549.0,0.91128936878561
Regulation Of Monoatomic Cation Transmembrane Transport (GO:1904062),39,0.02923401846457853,-0.04237754680520016,-0.050796008001705,388548.0,0.91128936878561
Negative Regulation Of Neuron Apoptotic Process (GO:0043524),71,0.02971912352389504,-0.05027813379975666,-0.050796008001705,699632.0,0.91128936878561
Membrane Repolarization During Action Potential (GO:0086011),13,0.03088887064577944,-0.028771952340386174,-0.050796008001705,132955.0,0.91128936878561
Nucleic Acid-Templated Transcription (GO:0097659),40,0.03143159201203364,-0.03523687361552994,-0.050796008001705,398076.0,0.91128936878561
Protein Localization To Cilium (GO:0061512),39,0.03190562843484266,-0.050318672270348155,-0.050796008001705,388266.0,0.91128936878561
Regulation Of Dendrite Development (GO:0050773),41,0.03525498508572941,-0.04192156565773628,-0.050796008001705,407449.0,0.91128936878561
