Pathway,n_genes,p_val,mean_score,median_score,stat,FDR
Regulation Of Smooth Muscle Contraction (GO:0006940),16,5.716084210850823e-09,-0.028357749681358436,-0.050796008001705,179966.5,1.5519168632459984e-05
3'-UTR-mediated mRNA Stabilization (GO:0070935),18,4.9858727322597844e-08,-0.02505358070754453,-0.050796008001705,198846.5,4.975582301394332e-05
Positive Regulation Of DNA Replication (GO:0045740),18,5.497880996015837e-08,-0.026954138448828144,-0.050796008001705,198758.5,4.975582301394332e-05
Positive Regulation Of Translational Initiation (GO:0045948),21,5.683127106585107e-07,-0.016062204757883326,-0.050796008001705,227211.0,0.00038574225235946417
"Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)",52,0.00010781808710991855,-0.04170588220242192,-0.050796008001705,528513.0,0.056243901631123534
Activation Of Cysteine-Type Endopeptidase Activity (GO:0097202),16,0.00012429591520690285,-0.017793290807274414,-0.050796008001705,170432.0,0.056243901631123534
Response To Ethanol (GO:0045471),17,0.00025037253840204176,-0.04209742869496104,-0.050796008001705,179651.5,0.0971087773945062
Renal Absorption (GO:0070293),17,0.0002875185118436352,-0.05048384246287589,-0.050796008001705,179472.5,0.0975765949569337
Gastrulation (GO:0007369),18,0.0003799205651578955,-0.03138191470107787,-0.050796008001705,189150.0,0.11460937048929846
Long-Term Synaptic Potentiation (GO:0060291),20,0.0008499132875340709,-0.04192052238693069,-0.050796008001705,208003.0,0.23075145756550022
Positive Regulation Of Chemotaxis (GO:0050921),44,0.0016263169806709414,-0.03315599994787965,-0.050796008001705,443824.5,0.3717048276095257
"Positive Regulation Of Synaptic Transmission, Glutamatergic (GO:0051968)",22,0.0016428942656774618,-0.04272738471554654,-0.050796008001705,226857.0,0.3717048276095257
Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042058),45,0.0020685653284788007,-0.0441609039328493,-0.050796008001705,453040.0,0.41159259238460233
Stress Granule Assembly (GO:0034063),23,0.0021223927415780597,-0.035187281184915264,-0.050796008001705,236338.5,0.41159259238460233
Negative Regulation Of ERK1 And ERK2 Cascade (GO:0070373),46,0.0024293821677224335,-0.042214707216474925,-0.050796008001705,462428.5,0.4397181723577605
Amyloid Fibril Formation (GO:1990000),24,0.002840706253462359,-0.0353349084599771,-0.050796008001705,245715.0,0.4712714994121288
"Chemical Synaptic Transmission, Postsynaptic (GO:0099565)",24,0.0029508712670372706,-0.044634514326094686,-0.050796008001705,245644.0,0.4712714994121288
Cell-Cell Adhesion Mediated By Cadherin (GO:0044331),25,0.0035278434676814367,-0.0404662498219867,-0.050796008001705,255191.5,0.5243681100486485
Regulation Of Muscle Contraction (GO:0006937),25,0.0037213162966280525,-0.04585476998098734,-0.050796008001705,255087.5,0.5243681100486485
Negative Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904357),25,0.0038627485086456612,-0.0472776808159247,-0.050796008001705,255014.5,0.5243681100486485
Peptide Metabolic Process (GO:0006518),50,0.004400162373299166,-0.04653993906298229,-0.050796008001705,499930.5,0.5688781354051065
Clathrin-Dependent Endocytosis (GO:0072583),26,0.0046375467426638325,-0.03753374695609378,-0.050796008001705,264519.0,0.5723154275605593
Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901),27,0.005309509479548792,-0.035778440543496576,-0.050796008001705,274095.5,0.6019809934611784
mRNA Stabilization (GO:0048255),52,0.005321378947723125,-0.04188516778449562,-0.050796008001705,518888.5,0.6019809934611784
Response To Alcohol (GO:0097305),28,0.0070277886793365585,-0.045514727708324716,-0.050796008001705,283332.0,0.7632178505759502
Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138),88,0.008773369715632834,-0.04099497870463917,-0.050796008001705,866154.0,0.9106356733872698
