Rank,Gene_Symbol,N_Variants,Total_PP,Composite_Score,DNase_Score,ATAC_Score,CAGE_Score,RNA_Score,PROCAP_Score,Splice_Score,Empirical_Z,P_value,FDR_Q,Has_Brain_eQTL,Brain_eQTL_Tissues,Min_eQTL_Qval
1,ENSG00000267141,6,0.042084,1.879586,0.091676,0.051888,-0.207513,0.013154,0.166486,11.161827,,,,False,0,1.000000
2,KLF16,7,0.046992,1.652952,0.100146,0.025081,-0.266761,-0.014961,0.077535,9.996670,28.160631,0.000100,0.070058,True,3,0.000009
3,MIR190B,7,0.034571,1.247923,0.137568,-0.015091,-0.264033,-0.136818,-0.061849,7.827760,,,,False,0,1.000000
4,PRSS54,6,0.095056,1.169657,-0.142037,-0.558611,2.065749,3.145913,0.873803,1.633127,19.915301,0.000150,0.070058,True,5,0.000000
5,BNIP3P47,1,0.014293,1.138722,-0.160797,-0.111114,-0.598085,-0.023511,-0.443045,8.168885,,,,False,0,1.000000
6,TBC1D17,1,0.118171,1.131836,-4.138733,-2.551170,6.633362,1.349045,5.649455,-0.150944,19.270040,0.000200,0.070058,True,6,0.000005
7,MIR4750,1,0.118171,1.131836,-4.138733,-2.551170,6.633362,1.349045,5.649455,-0.150944,,,,False,0,1.000000
8,MAP3K19,6,1.000000,0.989988,1.883846,2.045851,0.102974,-0.041183,0.677533,1.270909,16.850026,0.000451,0.070058,False,0,1.000000
9,MIR5590,6,1.000000,0.989988,1.883846,2.045851,0.102974,-0.041183,0.677533,1.270909,,,,False,0,1.000000
10,ENSG00000287463,6,1.000000,0.989988,1.883846,2.045851,0.102974,-0.041183,0.677533,1.270909,,,,True,4,0.000030
11,CCNT2,6,1.000000,0.989988,1.883846,2.045851,0.102974,-0.041183,0.677533,1.270909,16.850026,0.000451,0.070058,True,13,0.000000
12,CCNT2-AS1,6,1.000000,0.989988,1.883846,2.045851,0.102974,-0.041183,0.677533,1.270909,,,,True,7,0.000000
13,ACMSD,6,1.000000,0.989988,1.883846,2.045851,0.102974,-0.041183,0.677533,1.270909,16.850026,0.000451,0.070058,True,1,0.018738
14,RAB3GAP1,6,1.000000,0.989988,1.883846,2.045851,0.102974,-0.041183,0.677533,1.270909,16.850026,0.000451,0.070058,True,8,0.000019
15,VDAC2P4,6,1.000000,0.989988,1.883846,2.045851,0.102974,-0.041183,0.677533,1.270909,,,,True,2,0.000000
16,ENSG00000228098,6,1.000000,0.989988,1.883846,2.045851,0.102974,-0.041183,0.677533,1.270909,,,,False,0,1.000000
17,TMEM163,6,1.000000,0.989988,1.883846,2.045851,0.102974,-0.041183,0.677533,1.270909,16.850026,0.000451,0.070058,True,10,0.000000
18,ENSG00000142539,7,0.833131,0.789621,1.380306,2.128716,0.704042,0.533592,0.106801,-0.115732,13.431618,0.000551,0.070058,False,0,1.000000
19,SPIB,7,0.833131,0.789621,1.380306,2.128716,0.704042,0.533592,0.106801,-0.115732,13.431618,0.000551,0.070058,True,1,0.047343
20,ENSG00000267815,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,,,,False,0,1.000000
21,SIGLEC16,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,13.406764,0.001253,0.070058,True,13,0.000000
22,NUP62,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,13.406764,0.001253,0.070058,True,4,0.000571
23,ENSG00000269392,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,,,,False,0,1.000000
24,ATF5,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,13.406764,0.001253,0.070058,True,12,0.000000
25,ENSG00000287001,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,,,,True,4,0.000481
26,NR1H2,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,13.406764,0.001253,0.070058,True,1,0.030210
27,ENSG00000269179,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,13.406764,0.001253,0.070058,False,0,1.000000
28,ENSG00000269091,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,,,,True,6,0.000400
29,IL4I1,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,13.406764,0.001253,0.070058,True,3,0.010669
30,ENSG00000267890,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,,,,True,3,0.004092
31,ZNF473,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,13.406764,0.001253,0.070058,True,3,0.000000
32,ENSG00000269540,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,,,,True,5,0.000000
33,POLD1,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,13.406764,0.001253,0.070058,False,0,1.000000
34,SIGLEC11,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,13.406764,0.001253,0.070058,True,13,0.000000
35,VRK3,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,13.406764,0.001253,0.070058,True,4,0.000815
36,IZUMO2,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,13.406764,0.001253,0.070058,True,3,0.000001
37,MYH14,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,13.406764,0.001253,0.070058,True,5,0.000010
38,ZNF473CR,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,,,,False,0,1.000000
39,MIR4751,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,,,,False,0,1.000000
40,NAPSB,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,,,,True,13,0.000000
41,KCNC3,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,13.406764,0.001253,0.070058,True,2,0.002934
42,NAPSA,10,1.000000,0.788164,0.655712,1.465871,1.365795,0.609279,0.753934,-0.121608,13.406764,0.001253,0.070058,True,1,0.018078
43,ENSG00000267565,2,0.019864,0.757773,-0.133050,-0.104945,-0.600743,-0.063116,-0.435817,5.884311,,,,True,4,0.000000
44,ZNF93,2,0.019864,0.757773,-0.133050,-0.104945,-0.600743,-0.063116,-0.435817,5.884311,12.888279,0.001303,0.070058,True,13,0.000000
45,NAPRT,1,0.524859,0.699185,0.080737,-0.092366,0.729467,-0.110541,0.350438,3.237373,11.888718,0.001403,0.070058,True,13,0.000000
46,ENSG00000279605,1,0.524859,0.699185,0.080737,-0.092366,0.729467,-0.110541,0.350438,3.237373,,,,True,4,0.000000
47,ENSG00000267232,11,0.132557,0.640306,0.190918,0.055912,-0.146477,0.074698,0.006410,3.660374,,,,False,0,1.000000
48,ENSG00000261526,12,0.160212,0.590617,0.189019,0.072428,-0.043627,0.074469,0.134794,3.116620,,,,True,2,0.010459
49,FAU,4,0.391978,0.572997,0.916300,1.225465,-0.210986,-0.517494,0.946850,1.077849,9.735877,0.002055,0.070058,True,1,0.012304
50,STRN,37,0.457424,0.563895,-0.035828,-0.172880,0.284086,0.041686,-0.190709,3.457012,9.580575,0.002105,0.070058,True,2,0.015421
51,ENSG00000278952,2,0.142996,0.516701,0.234744,-0.086504,0.761264,0.479406,0.420180,1.291117,,,,True,12,0.000002
52,GPATCH11,52,0.499227,0.515483,-0.028091,-0.167083,0.257361,0.027671,-0.170477,3.173520,8.754650,0.002355,0.070058,True,3,0.005879
53,EIF2AK2,52,0.499227,0.515483,-0.028091,-0.167083,0.257361,0.027671,-0.170477,3.173520,8.754650,0.002355,0.070058,True,1,0.009337
54,ARL14EPP1,52,0.499227,0.515483,-0.028091,-0.167083,0.257361,0.027671,-0.170477,3.173520,,,,False,0,1.000000
55,HEATR5B,52,0.499227,0.515483,-0.028091,-0.167083,0.257361,0.027671,-0.170477,3.173520,8.754650,0.002355,0.070058,True,2,0.013083
56,SULT6B1,53,0.501840,0.514151,-0.027023,-0.164302,0.258339,0.027141,-0.165462,3.156213,8.731918,0.002405,0.070058,False,0,1.000000
57,RPL31P16,53,0.501840,0.514151,-0.027023,-0.164302,0.258339,0.027141,-0.165462,3.156213,,,,False,0,1.000000
58,ENSG00000272054,54,0.504150,0.512571,-0.027869,-0.164883,0.261435,0.027431,-0.161748,3.141061,,,,True,2,0.023312
59,CEBPZOS,54,0.504150,0.512571,-0.027869,-0.164883,0.261435,0.027431,-0.161748,3.141061,8.704961,0.002456,0.070058,True,12,0.000000
60,CEBPZ,58,0.514900,0.504032,-0.025474,-0.160423,0.261606,0.027417,-0.151264,3.072328,8.559275,0.002506,0.070058,True,13,0.000000
61,MIR6751,5,0.480851,0.501610,0.663088,1.136488,0.030999,-0.412146,0.740491,0.850738,,,,False,0,1.000000
62,MRPL49,5,0.480851,0.501610,0.663088,1.136488,0.030999,-0.412146,0.740491,0.850738,8.517952,0.002556,0.070058,True,2,0.019477
63,NDUFAF7,60,0.523293,0.497596,-0.026854,-0.156388,0.261759,0.025893,-0.139468,3.020632,8.449471,0.002606,0.070058,True,7,0.000000
64,NXN,7,0.130112,0.462676,0.880321,1.250718,0.029814,0.079238,0.686908,-0.150944,7.853717,0.003307,0.070058,True,7,0.000001
65,C16orf54,30,0.810982,0.456392,0.374789,0.280317,0.135925,0.124708,-0.162649,1.985264,7.746511,0.003358,0.070058,True,1,0.029264
66,ENSG00000260719,30,0.810982,0.456392,0.374789,0.280317,0.135925,0.124708,-0.162649,1.985264,,,,False,0,1.000000
67,CCDC162P,19,0.532702,0.449997,0.089096,0.101751,0.572779,1.913848,-0.099655,0.122165,,,,True,8,0.000000
68,RN7SKP127,22,0.465482,0.447612,-0.010833,0.025313,0.196566,0.096151,-0.050632,2.429109,,,,False,0,1.000000
69,SYVN1,6,0.521905,0.444203,0.584986,1.010067,0.003105,-0.362014,0.621352,0.807723,7.538558,0.003809,0.070058,True,3,0.004315
70,NPIPB13,27,0.879149,0.433380,0.340586,0.229577,0.177723,0.195936,-0.140580,1.797041,7.353913,0.003859,0.070058,True,2,0.000850
71,PDCL2P2,7,0.548265,0.428470,0.546651,0.946073,0.046231,-0.342320,0.608008,0.766174,,,,False,0,1.000000
72,HIGD1AP10,7,0.548265,0.428470,0.546651,0.946073,0.046231,-0.342320,0.608008,0.766174,,,,False,0,1.000000
73,RNU2-23P,7,0.548265,0.428470,0.546651,0.946073,0.046231,-0.342320,0.608008,0.766174,,,,False,0,1.000000
74,ENSG00000250306,5,0.024244,0.427418,0.508435,0.785506,0.907674,-0.333189,0.847029,-0.150944,,,,False,0,1.000000
75,RPS3AP22,5,0.024244,0.427418,0.508435,0.785506,0.907674,-0.333189,0.847029,-0.150944,,,,False,0,1.000000
76,PGAM1P8,8,0.563723,0.423850,0.541840,0.925259,0.066506,-0.329317,0.597786,0.741026,,,,True,13,0.000000
77,SPDYC,8,0.563723,0.423850,0.541840,0.925259,0.066506,-0.329317,0.597786,0.741026,7.191323,0.003909,0.070058,False,0,1.000000
78,ENSG00000285043,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,3,0.002928
79,PPP4C,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,2,0.006819
80,ENSG00000278713,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,True,2,0.000688
81,PAGR1,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,7,0.007910
82,ENSG00000279789,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,True,1,0.038428
83,YPEL3,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,11,0.000000
84,SULT1A3,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,False,0,1.000000
85,TBX6,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,13,0.000000
86,ENSG00000258130,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,True,1,0.035569
87,ENSG00000275371,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,True,12,0.000000
88,MAZ,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,2,0.000188
89,TMEM219,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,5,0.000239
90,DOC2A,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,3,0.000147
91,ENSG00000261444,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,False,0,1.000000
92,CDIPTOSP,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,True,13,0.000000
93,ENSG00000281348,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,False,0,1.000000
94,ENSG00000275857,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,False,0,1.000000
95,SLX1A-SULT1A3,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,False,0,1.000000
96,MVP,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,3,0.000316
97,ENSG00000259952,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,False,0,1.000000
98,MAPK3,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,9,0.000000
99,ENSG00000290692,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,False,0,1.000000
100,CORO1A,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,5,0.000050
